CustomerID,Coeff_H1,Coeff_H2,Coeff_Diff
17402,0.968856411,-0.310648538,-1.279504949
14525,0.707113019,-0.566532169,-1.273645188
14401,1,-0.266599446,-1.266599446
15611,0.814590844,-0.447739117,-1.262329961
14794,0.226253992,-1,-1.226253992
12766,0.971760204,-0.247722481,-1.219482685
14441,0.825193879,-0.365903974,-1.191097853
15804,1,-0.174675143,-1.174675143
17867,1,-0.160758294,-1.160758294
16719,0.942351147,-0.218311899,-1.160663045
17677,0.490231274,-0.668641057,-1.158872331
16156,0.924488339,-0.21732001,-1.141808349
13709,1,-0.136755165,-1.136755165
14936,1,-0.132568231,-1.132568231
16746,0.677167672,-0.422782578,-1.09995025
14640,1,-0.07574817,-1.07574817
15811,0.07024804,-1,-1.07024804
13113,0.321225265,-0.7444167,-1.065641965
17730,0.848746312,-0.191704736,-1.040451048
13126,1,-0.018758256,-1.018758256
13743,1,-0.016144248,-1.016144248
15984,0.843614201,-0.170139913,-1.013754114
16242,0.678473987,-0.325483253,-1.00395724
15563,0,-1,-1
15514,1,0,-1
16938,1,0,-1
13658,0,-1,-1
13680,0,-1,-1
13884,0,-1,-1
14607,0,-1,-1
14442,1,0,-1
13495,0,-1,-1
12654,1,0,-1
16500,0,-1,-1
14388,1,0.001772188,-0.998227812
17091,0.21245209,-0.782362345,-0.994814436
13069,0.627130678,-0.366373717,-0.993504395
14931,0,-0.991589441,-0.991589441
17097,0,-0.991326813,-0.991326813
16672,0.446344322,-0.541957254,-0.988301576
15864,0.058168651,-0.910500535,-0.968669186
16359,0.34012722,-0.616800116,-0.956927337
14543,0.556757763,-0.38818264,-0.944940403
18210,0,-0.94163162,-0.94163162
15218,0.776711576,-0.159279888,-0.935991464
14159,1,0.072408156,-0.927591844
14655,0,-0.926504746,-0.926504746
16705,0.377353105,-0.547872809,-0.925225914
12749,0,-0.925136597,-0.925136597
14796,0.063429915,-0.860676911,-0.924106826
17924,0,-0.923926671,-0.923926671
12523,0.546522892,-0.373683144,-0.920206036
12359,-0.087281324,-1,-0.912718676
14292,0.207498351,-0.705151646,-0.912649997
14626,0,-0.912329951,-0.912329951
15150,1,0.087886962,-0.912113038
14389,1,0.09362173,-0.90637827
13630,0.318014769,-0.587744946,-0.905759715
14653,0,-0.8951161,-0.8951161
14769,0.893487652,0.008334298,-0.885153354
17750,0,-0.882407413,-0.882407413
16670,0.771823309,-0.102566303,-0.874389612
13305,0.917032376,0.052863769,-0.864168607
17346,0.969358595,0.105487056,-0.86387154
16904,0.838382263,-0.021321639,-0.859703902
14334,-0.1368539,-0.990450455,-0.853596554
17162,-0.150664481,-1,-0.849335519
15144,0.794712161,-0.051662848,-0.846375009
13094,-0.002411097,-0.846365512,-0.843954415
13695,0.721724256,-0.110607947,-0.832332203
17381,-0.063994794,-0.882185628,-0.818190834
16358,0,-0.816153974,-0.816153974
17442,0.025550675,-0.785385309,-0.810935985
15867,-0.020256098,-0.821485826,-0.801229728
17975,-0.187227419,-0.9878088,-0.80058138
17288,0.798925666,0,-0.798925666
16133,0.377547579,-0.411845913,-0.789393492
12362,1,0.214909324,-0.785090676
16440,0,-0.77835234,-0.77835234
12494,0.919421094,0.151481282,-0.767939811
13880,0.729379173,-0.024991159,-0.754370332
16571,1,0.246756565,-0.753243435
14367,-0.041782858,-0.783072288,-0.74128943
13115,0.982130857,0.243082495,-0.739048362
13171,0,-0.738806355,-0.738806355
17428,0.553077704,-0.185616398,-0.738694102
18102,0.743010683,0.01188645,-0.731124233
17422,0.818342238,0.08926661,-0.729075628
14911,0.766953904,0.043968523,-0.722985381
17063,0.372283654,-0.344250385,-0.716534039
14191,1,0.286266789,-0.713733211
18219,0.991687487,0.292284172,-0.699403315
18044,-0.269409768,-0.961984212,-0.692574444
16218,-0.035075078,-0.724861349,-0.689786271
13230,0.361850041,-0.3211897,-0.683039741
16700,0.114671499,-0.559387273,-0.674058772
14198,0,-0.672477762,-0.672477762
12562,1,0.33013394,-0.66986606
18225,0.506484116,-0.153690163,-0.660174279
16915,-0.344159443,-0.999595592,-0.65543615
15093,-0.347952198,-1,-0.652047802
13534,0.06846984,-0.574178896,-0.642648737
14209,-0.357102054,-0.994570497,-0.637468443
12472,0.603713058,-0.032072608,-0.635785666
18055,1,0.365012558,-0.634987442
15311,0.544574604,-0.088653397,-0.633228
13090,0.922089027,0.289026779,-0.633062248
13988,-0.244713497,-0.877199411,-0.632485914
14299,0,-0.629696235,-0.629696235
17581,0.976234955,0.358776643,-0.617458313
17841,0.775443632,0.15896356,-0.616480071
14680,-0.223061095,-0.838459557,-0.615398462
14099,0.806534996,0.202395262,-0.604139734
15023,0.788855074,0.198336654,-0.59051842
15271,0.231741543,-0.351982739,-0.583724282
15434,0,-0.582250404,-0.582250404
16115,-0.152712414,-0.728601333,-0.57588892
15039,0.145175041,-0.430633171,-0.575808212
16033,0.278686412,-0.278777211,-0.557463623
18229,0.817820226,0.26138414,-0.556436085
16701,0.247525635,-0.306685237,-0.554210872
18144,0.629231409,0.080075176,-0.549156232
13184,-0.114740095,-0.65910083,-0.544360735
14534,0.42275774,-0.119081194,-0.541838934
12748,0.919430186,0.381971522,-0.537458664
15134,0.979393747,0.444458886,-0.534934861
15365,0,-0.524785876,-0.524785876
12626,0.013884593,-0.507385643,-0.521270236
14298,0.194075547,-0.324472456,-0.518548003
14410,-0.0236875,-0.539990433,-0.516302933
13098,0.800273117,0.284019279,-0.516253837
12931,-0.34262707,-0.853271274,-0.510644204
17530,-0.256898501,-0.766460669,-0.509562168
13319,0.711033454,0.213906431,-0.497127022
17576,0.475198558,-0.014118169,-0.489316727
17652,0.975527822,0.488589338,-0.486938484
13694,0.307849507,-0.165171812,-0.47302132
13629,0.517732988,0.051930079,-0.465802909
13139,1,0.536649473,-0.463350527
12957,0.204129915,-0.256501255,-0.46063117
15687,-0.483346609,-0.941067415,-0.457720806
12668,-0.544766644,-1,-0.455233356
15622,-0.545329066,-0.999999974,-0.454670908
15125,-0.50860052,-0.961734715,-0.453134195
16678,0.998255649,0.553446299,-0.44480935
12877,0.807494032,0.36358071,-0.443913322
15547,0.430881846,-0.009726466,-0.440608312
13263,0.471819,0.037966372,-0.433852628
16076,0,-0.430091943,-0.430091943
13588,0,-0.42889021,-0.42889021
13081,0.525704498,0.099231639,-0.426472859
15078,-0.176172092,-0.59892729,-0.422755197
12709,0.077536596,-0.334567612,-0.412104208
12619,1,0.590411217,-0.409588783
13408,0.439221152,0.030749314,-0.408471838
12415,0.416567285,0.020326058,-0.396241227
15529,0.088989312,-0.304046324,-0.393035636
13509,1,0.615099014,-0.384900986
17404,-0.192219268,-0.575142239,-0.382922971
13435,0,-0.381054144,-0.381054144
16525,0.371588455,-0.007386089,-0.378974545
14903,-0.62373611,-1,-0.37626389
12708,-0.067084185,-0.436177995,-0.36909381
13971,-0.560888828,-0.928688001,-0.367799173
14217,0.307385734,-0.059833637,-0.367219371
16839,0.139386345,-0.224893871,-0.364280216
17920,0.6254022,0.2628741,-0.3625281
13862,-0.493017571,-0.85475836,-0.36174079
14088,1,0.642792877,-0.357207123
17659,0.149882108,-0.204194121,-0.354076229
12753,0.239278905,-0.111867199,-0.351146104
17675,0.108708426,-0.238259329,-0.346967755
15187,1,0.654917167,-0.345082833
14227,-0.130060763,-0.468288162,-0.338227399
12704,0,-0.334206587,-0.334206587
15021,0.463345685,0.131124906,-0.33222078
12747,0.499697344,0.170920837,-0.328776507
13001,-0.668634618,-0.997070831,-0.328436213
17071,-0.198720574,-0.518447696,-0.319727123
17593,0,-0.318232945,-0.318232945
18077,-0.68324236,-0.992755984,-0.309513624
16931,0.194627614,-0.114574731,-0.309202344
16609,1,0.695870712,-0.304129288
13999,0.364458208,0.065512744,-0.298945464
15660,1,0.705509392,-0.294490608
16057,-0.227439406,-0.519121946,-0.29168254
15555,0.994385853,0.70882161,-0.285564243
12971,-0.060541945,-0.33987459,-0.279332645
17954,0.662646799,0.383937872,-0.278708927
14875,0,-0.271363004,-0.271363004
13021,0.89496933,0.624525036,-0.270444295
17314,0.82836209,0.560017828,-0.268344262
18065,-0.732180683,-1,-0.267819317
13881,0.596487055,0.332811575,-0.263675481
14032,0.201627404,-0.060283857,-0.261911261
15159,0.57124041,0.310637022,-0.260603389
12437,0.276128744,0.016525017,-0.259603727
16332,0,-0.249084796,-0.249084796
16161,0.267082947,0.01962215,-0.247460796
16570,0.574115893,0.329607432,-0.244508461
15745,0,-0.235759668,-0.235759668
18198,0.655245622,0.439751099,-0.215494523
12683,-0.110497009,-0.315758452,-0.205261443
12989,-0.503572681,-0.704611012,-0.201038331
17790,0.723712352,0.530539496,-0.193172855
14031,0.173061905,-0.016543081,-0.189604986
17644,0.116989355,-0.06898308,-0.185972435
18061,-0.483342265,-0.658505698,-0.175163433
17364,0.724719877,0.552838361,-0.171881516
17365,-0.82178004,-0.987846067,-0.166066027
14056,0.027371199,-0.137858711,-0.16522991
16837,1,0.83497135,-0.16502865
13384,0,-0.163943716,-0.163943716
13767,0.289963436,0.130924886,-0.15903855
16626,1,0.849095109,-0.150904891
15513,0.259098775,0.109927453,-0.149171322
16722,-0.05075424,-0.194594907,-0.143840667
16013,0.280656467,0.140876396,-0.13978007
17858,0.764391275,0.632155056,-0.132236219
15005,0.982828553,0.850753124,-0.132075429
13985,0.218227875,0.092109424,-0.12611845
14030,1,0.881357729,-0.118642271
12540,0.214068432,0.095591846,-0.118476585
17315,-0.437862398,-0.554025582,-0.116163184
13137,1,0.886566676,-0.113433324
16168,0.401359484,0.293861944,-0.107497541
15498,-0.316648809,-0.421084437,-0.104435628
13102,-0.578529462,-0.681047671,-0.102518209
14849,0.741428644,0.642345258,-0.099083387
12473,0,-0.094819037,-0.094819037
14258,-0.597133413,-0.691378166,-0.094244753
14289,-0.906225475,-1,-0.093774525
17562,0,-0.085260887,-0.085260887
15640,0.582484701,0.498796012,-0.083688689
12347,-0.256768355,-0.33085873,-0.074090375
12476,0.230319979,0.163106964,-0.067213016
13969,0.669382378,0.60318548,-0.066196898
14766,-0.934739068,-1,-0.065260932
16912,-0.014860219,-0.069990716,-0.055130497
14719,1,0.945192301,-0.054807699
15615,0.837853086,0.783753768,-0.054099318
16682,0,-0.048989294,-0.048989294
16011,0.266186703,0.220709223,-0.04547748
16794,0,-0.045340454,-0.045340454
14290,0,-0.045324879,-0.045324879
16710,1,0.958106339,-0.041893661
17228,1,0.962081945,-0.037918055
14110,-0.240515524,-0.277108096,-0.036592572
17769,0.984925744,0.952522385,-0.032403359
17937,1,0.970765923,-0.029234077
14083,1,0.971462047,-0.028537953
16458,0.147184235,0.119254639,-0.027929596
17754,0,-0.024729645,-0.024729645
18179,-0.977953763,-1,-0.022046237
17828,0,-0.019409774,-0.019409774
14243,-0.574885044,-0.593683044,-0.018798
15382,-0.981239558,-1,-0.018760442
14156,-0.572907,-0.591616505,-0.018709505
16717,1,0.981302273,-0.018697727
13426,-0.335567054,-0.350540152,-0.014973098
14092,0.362875742,0.350390459,-0.012485282
17139,-0.58361341,-0.594601361,-0.010987951
12682,0.141463788,0.131088171,-0.010375616
12949,-1,-1,-1.11E-16
