CustomerID,Max_InvoiceDate,CountDistinct(InvoiceDate),AVG(Revenue),Recency,Frequency,Monetary,RFM_Score
12464,40876.56,8,41.79,5,5,5,555
12465,40879.48,3,14.39,5,3,2,532
12468,40743.57,3,18.10,2,3,3,233
12471,40884.65,49,35.86,5,5,5,555
12472,40856.48,13,16.02,4,5,3,453
12473,40857.58,9,16.24,4,5,3,453
12474,40869.61,30,15.86,4,5,3,453
12475,40833.42,1,20.09,3,0,4,304
12476,40885.59,20,24.80,5,5,4,554
12477,40864.41,9,42.59,4,5,5,455
12478,40883.41,1,18.92,5,0,4,504
12479,40883.39,3,16.17,5,3,3,533
12480,40858.62,4,21.31,4,3,4,434
12481,40864.35,11,25.69,4,5,4,454
12483,40869.71,13,30.98,4,5,5,455
12484,40854.48,8,12.85,3,5,2,352
12488,40877.37,3,23.61,5,3,4,534
12489,40550.55,1,22.33,1,0,4,104
12490,40881.67,10,22.11,5,5,4,554
12491,40848.51,1,17.71,3,0,3,303
12492,40823.64,2,13.16,3,2,2,322
12493,40721.43,3,18.12,2,3,3,233
12494,40877.39,12,13.94,5,5,2,552
12497,40805.52,1,74.51,2,0,5,205
12498,40865.54,3,17.55,4,3,3,433
12500,40863.68,13,66.00,4,5,5,455
12501,40571.58,2,13.33,1,2,2,122
12502,40791.49,5,25.33,2,4,4,244
12503,40549.49,1,,1,0,1,101
12504,40868.67,4,24.46,4,3,4,434
12505,40585.57,1,-4.50,1,0,1,101
12506,40654.37,1,3.20,1,0,1,101
12507,40752.71,4,54.70,2,3,5,235
12508,40860.65,2,5.85,4,2,1,421
12509,40602.61,1,25.21,1,0,4,104
12510,40744.43,2,29.77,2,2,5,225
12512,40820.62,2,4.06,3,2,1,321
12513,40802.53,2,16.30,2,2,3,223
12514,40619.69,1,19.95,1,0,4,104
12515,40533.65,1,23.98,1,0,4,104
12516,40809.38,2,50.46,2,2,5,225
12517,40858.59,6,8.70,4,4,1,441
12518,40886.43,5,16.50,5,4,3,543
12519,40823.39,1,18.94,3,0,4,304
12520,40807.64,6,16.66,2,4,3,243
12521,40744.45,1,15.78,2,0,3,203
12522,40847.65,2,16.06,3,2,3,323
12523,40885.49,13,16.24,5,5,3,553
12524,40877.65,8,31.15,5,5,5,555
12526,40886.51,3,18.54,5,3,3,533
12527,40805.50,3,19.37,2,3,4,234
12528,40877.61,8,20.50,5,5,4,554
12530,40827.52,5,23.88,3,4,4,344
12531,40872.47,1,7.37,4,0,1,401
12532,40856.57,1,21.86,4,0,4,404
12534,40756.43,1,17.29,2,0,3,203
12535,40795.37,2,21.07,2,2,4,224
12536,40879.53,5,15.04,5,4,2,542
12538,40857.72,1,17.33,4,0,3,403
12539,40864.56,5,14.06,4,4,2,442
12540,40867.48,19,27.67,4,5,5,455
12541,40857.44,3,18.87,4,3,4,434
12544,40857.47,2,19.62,4,2,4,424
12545,40811.57,2,20.01,2,2,4,224
12546,40840.51,3,16.83,3,3,3,333
12547,40689.53,2,25.98,1,2,4,124
12548,40720.65,1,19.04,2,0,4,204
12550,40807.61,1,16.93,2,0,3,203
12551,40529.47,1,16.80,1,0,3,103
12552,40848.42,2,21.79,3,2,4,324
12553,40878.69,14,18.59,5,5,3,553
12556,40836.55,2,5.04,3,2,1,321
12557,40870.71,5,363.36,4,4,5,445
12558,40885.43,2,3.15,5,2,1,521
12559,40576.41,3,24.37,1,3,4,134
12560,40881.58,4,18.93,5,3,4,534
12561,40584.49,1,14.93,1,0,2,102
12562,40878.72,7,22.51,5,4,4,544
12564,40625.62,1,21.76,1,0,4,104
12565,40605.49,2,13.12,1,2,2,122
12566,40814.41,2,17.34,2,2,3,223
12567,40864.46,11,20.00,4,5,4,454
12569,40884.68,33,21.70,5,5,4,554
12571,40847.43,2,15.28,3,2,2,322
12572,40878.39,3,16.21,5,3,3,533
12573,40659.66,1,5.73,1,0,1,101
12574,40571.39,1,19.86,1,0,4,104
12576,40851.42,6,14.69,3,4,2,342
12577,40851.56,4,3.84,3,3,1,331
12578,40865.56,4,22.94,4,3,4,434
12579,40813.58,3,14.29,2,3,2,232
12580,40640.43,1,17.32,1,0,3,103
12581,40847.37,1,13.18,3,0,2,302
12582,40648.36,2,23.24,1,2,4,124
12583,40884.34,18,28.82,5,5,5,555
12584,40883.40,18,15.55,5,5,3,553
12585,40652.57,4,20.83,1,3,4,134
12586,40869.68,2,17.90,4,2,3,423
12587,40879.53,1,36.00,5,0,5,505
12588,40847.63,1,21.49,3,0,4,304
12589,40858.43,2,18.48,4,2,3,423
12590,40696.60,3,140.88,1,3,5,135
12591,40569.61,1,17.42,1,0,3,103
12592,40794.63,2,24.31,2,2,4,224
12593,40778.53,3,19.91,2,3,4,234
12594,40849.51,11,28.29,3,5,5,355
12596,40835.54,2,22.90,3,2,4,324
12597,40867.56,5,17.21,4,4,3,443
12598,40877.51,9,22.58,5,5,4,554
12599,40857.57,7,16.65,4,4,3,443
12600,40858.44,11,40.61,4,5,5,455
12601,40697.43,6,19.64,1,4,4,144
12602,40828.47,1,12.76,3,0,2,302
12603,40865.45,1,246.40,4,0,5,405
12604,40807.59,2,15.89,2,2,3,223
12605,40521.65,1,-2.50,1,0,1,101
12607,40828.68,2,2.33,3,2,1,321
12609,40808.69,3,18.78,2,3,3,233
12610,40864.40,7,18.54,4,4,3,443
12611,40834.55,1,18.36,3,0,3,303
12612,40829.51,2,30.65,3,2,5,325
12613,40855.56,6,19.75,4,4,4,444
12614,40609.43,1,15.78,1,0,3,103
12615,40884.63,4,21.82,5,3,4,534
12616,40801.71,5,18.26,2,4,3,243
12617,40857.61,1,8.61,4,0,1,401
12618,40865.47,1,16.12,4,0,3,403
12619,40870.62,13,33.84,4,5,5,455
12620,40872.43,3,14.56,4,3,2,432
12621,40885.48,23,28.72,5,5,5,555
12622,40654.69,1,16.37,1,0,3,103
12623,40610.58,1,16.95,1,0,3,103
12624,40780.63,2,16.87,2,2,3,223
12625,40675.41,3,29.25,1,3,5,135
12626,40863.67,13,21.30,4,5,4,454
12627,40876.50,7,19.47,5,4,4,544
12628,40882.55,4,17.90,5,3,3,533
12630,40877.45,2,19.82,5,2,4,524
12631,40829.58,1,20.66,3,0,4,304
12633,40828.49,5,20.78,3,4,4,344
12635,40797.46,2,16.72,2,2,3,223
12637,40819.57,11,15.35,3,5,2,352
12638,40853.55,1,17.22,3,0,3,303
12639,40648.53,1,22.10,1,0,4,104
12640,40863.49,3,22.16,4,3,4,434
12641,40771.56,1,18.59,2,0,3,203
12642,40861.63,3,21.56,4,3,4,434
12643,40758.54,6,139.36,2,4,5,245
12644,40757.44,1,15.42,2,0,2,202
12645,40853.53,5,23.72,3,4,4,344
12646,40882.43,2,29.93,5,2,5,525
12647,40864.54,13,29.03,4,5,5,455
12648,40732.50,1,15.15,2,0,2,202
12649,40779.61,4,18.29,2,3,3,233
12650,40883.69,1,15.72,5,0,3,503
12651,40552.53,1,12.67,1,0,2,102
12652,40564.71,2,17.93,1,2,3,123
12653,40738.45,2,51.39,2,2,5,225
12654,40876.42,5,15.84,5,4,3,543
12656,40869.57,8,30.64,4,5,5,455
12657,40875.66,5,25.40,5,4,4,544
12658,40868.43,1,19.06,4,0,4,404
12659,40857.50,1,18.34,4,0,3,403
12660,40875.56,1,18.85,5,0,3,503
12662,40886.50,12,16.45,5,5,3,553
12664,40878.71,10,131.94,5,5,5,555
12665,40562.36,2,15.44,1,2,2,122
12666,40527.61,1,-91.44,1,0,1,101
12667,40828.71,1,18.79,3,0,3,303
12668,40879.63,6,22.50,5,4,4,544
12669,40736.41,4,15.76,2,3,3,233
12670,40876.64,6,31.77,5,4,5,545
12672,40557.39,1,22.59,1,0,4,104
12673,40881.58,2,14.54,5,2,2,522
12674,40875.52,7,21.94,4,4,4,444
12676,40862.52,6,29.59,4,4,5,445
12678,40844.54,13,106.04,3,5,5,355
12679,40834.57,9,18.90,3,5,4,354
12680,40886.53,4,16.59,5,3,3,533
12681,40872.48,27,21.29,4,5,4,454
12682,40883.42,31,23.43,5,5,4,554
12683,40882.69,20,22.98,5,5,4,554
12684,40879.41,7,21.75,5,4,4,544
12685,40858.57,6,18.24,4,4,3,443
12686,40515.41,1,12.73,1,0,2,102
12688,40773.37,1,28.50,2,0,5,205
12689,40861.35,2,17.33,4,2,3,423
12690,40681.38,1,24.31,1,0,4,104
12691,40858.70,6,32.37,4,4,5,445
12693,40766.39,6,21.15,2,4,4,244
12694,40816.55,2,23.50,3,2,4,324
12695,40879.56,4,21.56,5,3,4,534
12697,40865.68,5,21.84,4,4,4,444
12700,40879.45,6,18.43,5,4,3,543
12701,40807.45,2,15.05,2,2,2,222
12702,40867.44,1,18.25,4,0,3,403
12703,40822.81,2,12.49,3,2,2,322
12704,40879.55,10,26.60,5,5,4,554
12705,40871.55,14,19.58,4,5,4,454
12707,40595.36,1,18.29,1,0,3,103
12708,40857.41,16,15.04,4,5,2,452
12709,40883.70,26,36.19,5,5,5,555
12710,40790.50,4,14.31,2,3,2,232
12712,40864.39,17,31.77,4,5,5,455
12713,40886.51,1,21.89,5,0,4,504
12714,40877.65,5,18.18,5,4,3,543
12715,40780.64,1,16.85,2,0,3,203
12716,40883.37,2,15.27,5,2,2,522
12717,40735.62,3,18.75,2,3,3,233
12718,40815.69,1,12.54,2,0,2,202
12719,40881.57,3,14.48,5,3,2,532
12720,40884.34,29,16.01,5,5,3,553
12721,40855.51,7,16.03,3,4,3,343
12722,40801.62,6,15.87,2,4,3,243
12723,40883.43,5,10.51,5,4,2,542
12724,40881.67,4,19.46,5,3,4,534
12725,40515.66,1,17.83,1,0,3,103
12726,40858.57,7,21.04,4,4,4,444
12727,40876.49,9,28.64,5,5,5,555
12728,40815.65,4,18.18,2,3,3,233
12729,40773.49,1,17.42,2,0,3,203
12731,40863.50,14,68.65,4,5,5,455
12732,40707.48,1,19.69,1,0,4,104
12733,40652.68,1,17.45,1,0,3,103
12734,40534.53,1,27.60,1,0,5,105
12735,40571.57,2,18.13,1,2,3,123
12736,40554.33,1,58.50,1,0,5,105
12738,40514.77,1,14.12,1,0,2,102
12739,40808.54,2,26.66,2,2,4,224
12740,40823.45,1,15.84,3,0,3,303
12743,40752.68,2,4.12,2,2,1,221
12744,40835.47,10,39.83,3,5,5,355
12747,40884.61,11,40.74,5,5,5,555
12748,40886.51,225,6.95,5,5,1,551
12749,40883.41,8,16.75,5,5,3,553
12750,40758.38,1,18.39,2,0,3,203
12752,40805.56,1,82.39,2,0,5,205
12753,40883.49,11,93.23,5,5,5,555
12754,40651.38,6,45.37,1,4,5,145
12755,40637.43,4,367.20,1,3,5,135
12756,40800.40,1,28.02,2,0,5,205
12757,40871.52,19,11.35,4,5,2,452
12758,40770.43,2,28.78,2,2,5,225
12759,40834.62,3,16.12,3,3,3,333
12762,40879.43,2,27.48,5,2,5,525
12763,40748.59,2,27.45,2,2,5,225
12764,40570.43,1,37.64,1,0,5,105
12766,40883.37,7,22.55,5,4,4,544
12769,40648.43,1,35.74,1,0,5,105
12770,40676.40,1,112.62,1,0,5,105
12772,40827.39,1,16.23,3,0,3,303
12775,40869.69,6,20.17,4,4,4,444
12778,40867.49,7,16.44,4,4,3,443
12779,40865.72,12,24.64,4,5,4,454
12781,40865.66,5,24.54,4,4,4,444
12782,40882.39,6,21.87,5,4,4,544
12783,40884.66,8,18.65,5,5,3,553
12784,40877.65,2,9.35,5,2,2,522
12785,40884.53,2,20.38,5,2,4,524
12787,40877.36,3,23.18,5,3,4,534
12789,40821.57,1,22.96,3,0,4,304
12790,40694.59,1,15.47,1,0,2,102
12791,40513.48,1,96.30,0,0,5,5
12792,40630.48,1,16.02,1,0,3,103
12793,40552.51,2,22.73,1,2,4,124
12794,40833.62,2,19.12,3,2,4,324
12795,40868.44,1,30.75,4,0,5,405
12797,40526.68,3,17.08,1,3,3,133
12798,40876.66,3,872.13,5,3,5,535
12802,40703.41,2,17.10,1,2,3,123
12808,40850.42,3,17.27,3,3,3,333
12809,40718.64,2,18.63,2,2,3,223
12811,40626.40,3,16.61,1,3,3,133
12812,40842.41,1,15.31,3,0,2,302
12814,40785.51,1,62.96,2,0,5,205
12815,40739.43,2,22.63,2,2,4,224
12816,40791.53,2,19.73,2,2,4,224
12817,40605.69,1,41.51,1,0,5,105
12818,40708.58,2,94.87,1,2,5,125
12820,40883.63,4,15.97,5,3,3,533
12821,40672.66,1,15.45,1,0,2,102
12822,40816.42,3,19.55,3,3,4,334
12823,40812.32,5,351.90,2,4,5,245
12824,40827.53,1,15.88,3,0,3,303
12826,40884.43,8,15.62,5,5,3,553
12827,40881.51,3,17.21,5,3,3,533
12828,40884.36,6,18.19,5,4,3,543
12829,40564.54,3,21.09,1,3,4,134
12830,40849.50,7,173.04,3,4,5,345
12831,40624.54,1,23.89,1,0,4,104
12832,40854.56,2,14.19,3,2,2,322
12833,40741.57,1,17.39,2,0,3,203
12834,40604.41,1,17.35,1,0,3,103
12836,40827.63,5,14.93,3,4,2,342
12837,40713.67,1,11.18,2,0,2,202
12838,40853.51,2,5.56,3,2,1,321
12839,40884.52,16,17.63,5,5,3,553
12840,40743.40,6,23.40,2,4,4,244
12841,40882.47,25,8.86,5,5,1,551
12842,40816.65,2,32.91,3,2,5,325
12843,40821.51,9,15.56,3,5,3,353
12844,40857.56,2,6.27,4,2,1,421
12845,40619.57,4,13.11,1,3,2,132
12847,40864.55,1,10.03,4,0,2,402
12849,40855.57,2,21.05,4,2,4,424
12851,40790.53,1,2.70,2,0,1,201
12852,40596.62,2,14.99,1,2,2,122
12853,40779.46,9,23.59,2,5,4,254
12854,40808.51,5,11.21,2,4,2,242
12855,40514.40,1,12.70,1,0,2,102
12856,40879.45,8,6.83,5,5,1,551
12857,40676.43,2,24.05,1,2,4,124
12863,40834.59,2,104.24,3,2,5,325
12864,40748.54,1,49.04,2,0,5,205
12865,40860.60,3,16.13,4,3,3,433
12866,40603.59,1,21.50,1,0,4,104
12867,40860.65,10,7.22,4,5,1,451
12868,40701.45,6,15.02,1,4,2,142
12870,40520.60,1,-7.45,1,0,1,101
12871,40802.63,2,34.60,2,2,5,225
12872,40560.45,2,9.09,1,2,2,122
12873,40604.62,1,93.50,1,0,5,105
12875,40743.65,2,171.62,2,2,5,225
12876,40829.52,2,26.09,3,2,4,324
12877,40883.44,12,9.79,5,5,2,552
12878,40868.60,3,17.18,4,3,3,433
12879,40842.52,4,46.05,3,3,5,335
12881,40611.49,1,42.57,1,0,5,105
12882,40877.68,2,112.54,5,2,5,525
12883,40862.40,4,16.75,4,3,3,433
12884,40798.55,1,44.15,2,0,5,205
12885,40823.57,4,16.09,3,3,3,333
12886,40819.42,3,15.95,3,3,3,333
12888,40672.67,4,44.82,1,3,5,135
12890,40862.73,1,4.77,4,0,1,401
12891,40701.52,3,110.33,1,3,5,135
12893,40856.52,1,5.70,4,0,1,401
12895,40844.58,3,15.84,3,3,3,333
12897,40682.51,2,54.13,1,2,5,125
12901,40878.42,36,136.20,5,5,5,555
12902,40622.50,1,13.87,1,0,2,102
12904,40868.61,2,6.99,4,2,1,421
12906,40875.41,4,46.35,4,3,5,435
12908,40828.42,4,375.00,3,3,5,335
12909,40847.53,8,22.18,3,5,4,354
12910,40863.60,8,41.00,4,5,5,455
12912,40884.37,5,69.26,5,4,5,545
12913,40882.51,5,49.67,5,4,5,545
12915,40738.48,2,16.53,2,2,3,223
12916,40748.44,5,27.82,2,4,5,245
12917,40758.70,1,297.00,2,0,5,205
12919,40878.57,8,25.03,5,5,4,554
12920,40869.63,1,6.03,4,0,1,401
12921,40883.41,49,22.12,5,5,4,554
12922,40725.65,1,14.48,2,0,2,202
12923,40822.68,1,6.10,3,0,1,301
12924,40798.58,5,30.00,2,4,5,245
12925,40882.47,2,15.42,5,2,2,522
12928,40851.60,5,24.56,3,4,4,344
12929,40764.60,2,11.68,2,2,2,222
12930,40808.64,4,15.18,2,3,2,232
12931,40865.53,20,365.51,4,5,5,455
12933,40862.69,4,5.67,4,3,1,431
12935,40884.73,8,16.59,5,5,3,553
12936,40869.73,5,17.16,4,4,3,443
12937,40871.63,4,12.54,4,3,2,432
12938,40861.47,1,12.68,4,0,2,402
12939,40822.61,8,246.42,3,5,5,355
12940,40840.59,4,8.51,3,3,1,331
12942,40755.61,3,9.65,2,3,2,232
12943,40585.63,1,-3.75,1,0,1,101
12944,40851.46,2,20.15,3,2,4,324
12945,40598.59,1,20.13,1,0,4,104
12947,40743.42,11,15.07,2,5,2,252
12948,40870.72,8,17.40,4,5,3,453
12949,40856.48,10,19.07,4,5,4,454
12950,40884.55,3,80.13,5,3,5,535
12951,40878.51,8,16.03,5,5,3,553
12952,40881.44,5,17.29,5,4,3,543
12953,40877.39,1,19.40,5,0,4,504
12955,40885.69,14,26.11,5,5,4,554
12956,40580.67,1,5.69,1,0,1,101
12957,40882.69,12,16.48,5,5,3,553
12962,40879.66,2,16.65,5,2,3,523
12963,40878.54,9,19.18,5,5,4,554
12965,40797.65,1,7.08,2,0,1,201
12966,40877.53,1,16.02,5,0,3,503
12967,40883.60,4,37.80,5,3,5,535
12968,40774.66,1,27.19,2,0,5,205
12970,40879.60,4,3.16,5,3,1,531
12971,40883.51,86,35.72,5,5,5,555
12974,40689.40,1,18.10,1,0,3,103
12976,40675.41,1,33.57,1,0,5,105
12977,40730.69,1,4.36,2,0,1,201
12980,40731.49,12,295.50,2,5,5,255
12981,40857.50,2,18.61,4,2,3,423
12982,40647.45,2,11.09,1,2,2,122
12984,40868.53,1,24.38,4,0,4,404
12985,40886.45,3,15.99,5,3,3,533
12987,40813.50,3,18.17,2,3,3,233
12988,40594.60,1,6.09,1,0,1,101
12989,40883.64,19,100.80,5,5,5,555
12990,40855.54,3,31.50,4,3,5,435
12991,40863.65,2,16.25,4,2,3,423
12993,40863.66,4,15.36,4,3,2,432
12994,40882.65,5,12.36,5,4,2,542
12995,40809.39,2,40.14,2,2,5,225
12997,40864.66,7,17.88,4,4,3,443
12999,40690.56,3,16.28,1,3,3,133
13000,40780.45,3,17.25,2,3,3,233
13001,40882.62,14,28.72,5,5,5,555
13002,40568.64,1,17.28,1,0,3,103
13003,40781.45,3,24.84,2,3,4,234
13004,40875.48,22,13.77,4,5,2,452
13005,40713.45,3,16.17,2,3,3,233
13006,40830.58,1,20.39,3,0,4,304
13008,40563.60,2,16.39,1,2,3,123
13011,40514.72,1,16.85,1,0,3,103
13012,40877.55,11,13.32,5,5,2,552
13013,40885.63,15,21.56,5,5,4,554
13014,40884.39,16,27.14,5,5,5,555
13015,40833.55,5,19.01,3,4,4,344
13016,40813.59,3,16.81,2,3,3,233
13017,40879.66,1,204.00,5,0,5,505
13018,40870.56,27,15.82,4,5,3,453
13021,40882.69,12,19.31,5,5,4,554
13023,40822.69,2,17.25,3,2,3,323
13026,40885.71,8,22.65,5,5,4,554
13027,40773.40,6,265.85,2,4,5,245
13028,40864.47,3,14.23,4,3,2,432
13029,40856.38,3,124.75,4,3,5,435
13030,40875.60,2,8.18,5,2,1,521
13032,40848.41,3,13.29,3,3,2,332
13033,40529.60,1,17.32,1,0,3,103
13034,40832.51,2,17.37,3,2,3,323
13035,40829.52,3,29.55,3,3,5,335
13037,40748.66,3,18.36,2,3,3,233
13038,40806.61,3,32.45,2,3,5,235
13040,40878.44,2,15.74,5,2,3,523
13043,40633.51,2,33.68,1,2,5,125
13044,40595.64,1,16.98,1,0,3,103
13045,40787.63,1,16.96,2,0,3,203
13046,40856.36,2,17.98,4,2,3,423
13047,40855.51,17,15.87,3,5,3,353
13048,40872.56,5,13.48,4,4,2,442
13049,40822.65,2,46.91,3,2,5,325
13050,40877.73,28,13.51,5,5,2,552
13052,40674.59,1,19.34,1,0,4,104
13055,40822.79,4,15.41,3,3,2,332
13058,40862.53,3,33.93,4,3,5,435
13059,40637.44,1,22.93,1,0,4,104
13060,40633.48,1,20.50,1,0,4,104
13061,40814.67,1,24.86,2,0,4,204
13062,40695.63,1,31.54,1,0,5,105
13064,40874.52,4,16.26,4,3,3,433
13065,40513.70,1,14.70,1,0,2,102
13066,40862.57,3,8.79,4,3,1,431
13067,40804.57,1,7.70,2,0,1,201
13068,40876.63,2,172.00,5,2,5,525
13069,40886.36,26,8.51,5,5,1,551
13070,40694.57,1,25.42,1,0,4,104
13072,40620.34,1,25.31,1,0,4,104
13075,40757.43,1,41.80,2,0,5,205
13077,40885.81,4,6.56,5,3,1,531
13078,40885.78,43,32.72,5,5,5,555
13079,40882.70,5,36.68,5,4,5,545
13080,40707.62,1,9.68,1,0,2,102
13081,40885.55,21,26.36,5,5,4,554
13082,40760.68,10,47.94,2,5,5,255
13083,40882.63,2,16.88,5,2,3,523
13085,40729.51,3,10.80,2,3,2,232
13089,40884.38,114,30.97,5,5,5,555
13090,40878.53,18,54.41,5,5,5,555
13091,40865.70,2,13.42,4,2,2,422
13092,40816.47,6,19.11,3,4,4,344
13093,40619.72,12,45.91,1,5,5,155
13094,40865.59,16,56.96,4,5,5,455
13095,40816.50,1,12.40,3,0,2,302
13097,40854.45,14,13.53,3,5,2,352
13098,40885.59,41,47.46,5,5,5,555
13099,40787.74,1,207.36,2,0,5,205
13101,40652.61,1,12.65,1,0,2,102
13102,40885.54,26,20.56,5,5,4,554
13103,40847.40,1,30.49,3,0,5,305
13104,40883.55,6,54.92,5,4,5,545
13106,40758.49,2,76.50,2,2,5,225
13107,40842.62,5,25.40,3,4,4,344
13108,40514.44,1,35.01,1,0,5,105
13109,40884.53,5,15.34,5,4,2,542
13110,40855.60,8,9.95,4,5,2,452
13113,40886.53,39,40.84,5,5,5,555
13115,40878.40,14,16.88,5,5,3,553
13116,40769.61,2,15.65,2,2,3,223
13117,40865.50,8,12.96,4,5,2,452
13118,40867.53,6,13.72,4,4,2,442
13120,40648.43,1,30.60,1,0,5,105
13121,40617.70,2,4.81,1,2,1,121
13122,40792.66,2,16.77,2,2,3,223
13124,40797.53,3,16.70,2,3,3,233
13126,40882.42,10,14.55,5,5,2,552
13127,40809.43,1,17.28,2,0,3,203
13130,40792.65,1,32.00,2,0,5,205
13131,40863.56,4,22.59,4,3,4,434
13132,40625.53,1,25.77,1,0,4,104
13133,40613.44,2,15.69,1,2,3,123
13134,40814.39,7,16.58,2,4,3,243
13135,40690.45,1,3096.00,1,0,5,105
13136,40836.80,11,18.31,3,5,3,353
13137,40876.51,9,5.14,5,5,1,551
13138,40864.70,6,15.28,4,4,2,442
13139,40870.58,8,29.25,4,5,5,455
13140,40778.65,3,9.39,2,3,2,232
13141,40802.41,6,17.54,2,4,3,243
13142,40867.67,1,13.35,4,0,2,402
13144,40554.47,1,36.98,1,0,5,105
13145,40847.53,5,87.82,3,4,5,345
13146,40860.65,1,15.22,4,0,2,402
13147,40876.58,4,178.20,5,3,5,535
13148,40857.64,17,9.90,4,5,2,452
13149,40872.55,4,19.49,4,3,4,434
13151,40683.54,2,16.67,1,2,3,123
13153,40881.51,1,32.41,5,0,5,505
13154,40742.64,1,-611.86,2,0,0,200
13155,40853.65,4,11.43,3,3,2,332
13157,40837.58,5,19.77,3,4,4,344
13158,40792.50,4,15.20,2,3,2,232
13159,40878.47,5,11.31,5,4,2,542
13160,40864.55,1,22.95,4,0,4,404
13161,40573.59,1,14.09,1,0,2,102
13162,40764.67,5,20.06,2,4,4,244
13165,40840.63,2,24.32,3,2,4,324
13166,40604.60,2,9.87,1,2,2,122
