Product,Total_Customers,Churned_Customers,Churn_Rate,Avg_Churn_Rate,Churn_Lift,Product_Label
NATURAL HANGING QUILTED HEARTS,32,3,0.094,0.032,0.062,Risky_Product
PINK DRAWER KNOB ACRYLIC EDWARDIAN,32,3,0.094,0.032,0.062,Risky_Product
HERB MARKER MINT,32,3,0.094,0.032,0.062,Risky_Product
VINTAGE BEAD PINK PURSE,32,3,0.094,0.032,0.062,Risky_Product
CHRISTMAS HANGING TREE WITH BELL,54,5,0.093,0.032,0.061,Risky_Product
COLOUR GLASS. STAR T-LIGHT HOLDER,76,7,0.092,0.032,0.06,Risky_Product
PINK OWL SOFT TOY,65,6,0.092,0.032,0.06,Risky_Product
RED METAL BOX TOP SECRET,121,11,0.091,0.032,0.059,Risky_Product
FRENCH BLUE METAL DOOR SIGN 5,33,3,0.091,0.032,0.059,Risky_Product
WRAP POPPIES DESIGN,33,3,0.091,0.032,0.059,Risky_Product
HEART DECORATION RUSTIC HANGING,67,6,0.09,0.032,0.058,Risky_Product
HEART DECORATION PAINTED ZINC,45,4,0.089,0.032,0.057,Risky_Product
WHITE GOOSE FEATHER CHRISTMAS TREE,45,4,0.089,0.032,0.057,Risky_Product
HERB MARKER THYME,34,3,0.088,0.032,0.056,Risky_Product
GARLAND WITH STARS AND BELLS,34,3,0.088,0.032,0.056,Risky_Product
HAIRCLIPS FORTIES FABRIC ASSORTED,34,3,0.088,0.032,0.056,Risky_Product
COSY SLIPPER SHOES SMALL GREEN,34,3,0.088,0.032,0.056,Risky_Product
CARD SUKI BIRTHDAY,35,3,0.086,0.032,0.054,Risky_Product
SET OF 2 CHRISTMAS DECOUPAGE CANDLE,93,8,0.086,0.032,0.054,Risky_Product
MINI CAKE STAND WITH HANGING CAKES,35,3,0.086,0.032,0.054,Risky_Product
MAN FLU METAL SIGN,47,4,0.085,0.032,0.053,Risky_Product
VICTORIAN SEWING BOX LARGE,47,4,0.085,0.032,0.053,Risky_Product
TRAVEL CARD WALLET FLOWER MEADOW,36,3,0.083,0.032,0.051,Risky_Product
SNOWFLAKE PORTABLE TABLE LIGHT,72,6,0.083,0.032,0.051,Risky_Product
MIDNIGHT GLAMOUR SCARF KNITTING KIT,36,3,0.083,0.032,0.051,Risky_Product
SET OF 10 LANTERNS FAIRY LIGHT STAR,48,4,0.083,0.032,0.051,Risky_Product
SET OF 4 NAPKIN CHARMS CUTLERY,48,4,0.083,0.032,0.051,Risky_Product
RETRO MOD TRAY,49,4,0.082,0.032,0.05,Risky_Product
MINI PLAYING CARDS GYMKHANA,98,8,0.082,0.032,0.05,Risky_Product
12 PENCILS SMALL TUBE SKULL,73,6,0.082,0.032,0.05,Risky_Product
BOUDOIR SQUARE TISSUE BOX,74,6,0.081,0.032,0.049,Risky_Product
COOK WITH WINE METAL SIGN,161,13,0.081,0.032,0.049,Risky_Product
CALENDAR IN SEASON DESIGN,38,3,0.079,0.032,0.047,Risky_Product
CERAMIC CAKE STAND + HANGING CAKES,38,3,0.079,0.032,0.047,Risky_Product
IVORY SWEETHEART WIRE LETTER RACK,38,3,0.079,0.032,0.047,Risky_Product
MINI PLAYING CARDS DOLLY GIRL,114,9,0.079,0.032,0.047,Risky_Product
MEDIUM CERAMIC TOP STORAGE JAR,76,6,0.079,0.032,0.047,Risky_Product
FRYING PAN UNION FLAG,51,4,0.078,0.032,0.046,Risky_Product
EMBROIDERED RIBBON REEL REBECCA,39,3,0.077,0.032,0.045,Risky_Product
JAM JAR WITH GREEN LID,39,3,0.077,0.032,0.045,Risky_Product
HERB MARKER ROSEMARY,39,3,0.077,0.032,0.045,Risky_Product
RED STRIPE CERAMIC DRAWER KNOB,65,5,0.077,0.032,0.045,Risky_Product
CHRISTMAS GINGHAM TREE,92,7,0.076,0.032,0.044,Risky_Product
RED FLORAL FELTCRAFT SHOULDER BAG,107,8,0.075,0.032,0.043,Risky_Product
PAINTED METAL STAR WITH HOLLY BELLS,54,4,0.074,0.032,0.042,Risky_Product
PACK OF 12 SPACEBOY TISSUES,68,5,0.074,0.032,0.042,Risky_Product
PACK OF 6 SMALL FRUIT STRAWS,54,4,0.074,0.032,0.042,Risky_Product
BATH BUILDING BLOCK WORD,54,4,0.074,0.032,0.042,Risky_Product
HERB MARKER PARSLEY,41,3,0.073,0.032,0.041,Risky_Product
FUNKY DIVA PEN,41,3,0.073,0.032,0.041,Risky_Product
FOLKART CLIP ON STARS,41,3,0.073,0.032,0.041,Risky_Product
PACK OF 12 VINTAGE LEAF TISSUES,41,3,0.073,0.032,0.041,Risky_Product
SET OF 4 NAPKIN CHARMS STARS,41,3,0.073,0.032,0.041,Risky_Product
SHELF WITH 4 HOOKS HOME SWEET HOME,41,3,0.073,0.032,0.041,Risky_Product
PACK OF 12 RED RETROSPOT TISSUES,69,5,0.072,0.032,0.04,Risky_Product
DRAWER KNOB CRACKLE GLAZE PINK,56,4,0.071,0.032,0.039,Risky_Product
CHILDRENS TOY COOKING UTENSIL SET,98,7,0.071,0.032,0.039,Risky_Product
CHARLOTTE BAG DOLLY GIRL DESIGN,100,7,0.07,0.032,0.038,Risky_Product
HEART FILIGREE DOVE LARGE,43,3,0.07,0.032,0.038,Risky_Product
PACK OF 12 VINTAGE DOILY TISSUES,71,5,0.07,0.032,0.038,Risky_Product
PEG BAG APPLES DESIGN,43,3,0.07,0.032,0.038,Risky_Product
VICTORIAN SEWING BOX SMALL,72,5,0.069,0.032,0.037,Risky_Product
VINTAGE CHRISTMAS GIFT BAG LARGE,72,5,0.069,0.032,0.037,Risky_Product
WHITE GOOSE FEATHER TREE 60CM,44,3,0.068,0.032,0.036,Risky_Product
WOODLAND MINI BACKPACK,88,6,0.068,0.032,0.036,Risky_Product
HOME SWEET HOME KEY HOLDER,74,5,0.068,0.032,0.036,Risky_Product
FAIRY CAKES NOTEBOOK A6 SIZE,44,3,0.068,0.032,0.036,Risky_Product
FRENCH BLUE METAL DOOR SIGN 3,30,2,0.067,0.032,0.035,Risky_Product
JIGSAW RABBIT AND BIRDHOUSE,30,2,0.067,0.032,0.035,Risky_Product
GREEN DRAWER KNOB ACRYLIC EDWARDIAN,30,2,0.067,0.032,0.035,Risky_Product
ABSTRACT CIRCLES SKETCHBOOK,30,2,0.067,0.032,0.035,Risky_Product
WHITE SPOT BLUE CERAMIC DRAWER KNOB,60,4,0.067,0.032,0.035,Risky_Product
WOODEN TREE CHRISTMAS SCANDINAVIAN,243,16,0.066,0.032,0.034,Risky_Product
CLASSIC METAL BIRDCAGE PLANT HOLDER,76,5,0.066,0.032,0.034,Risky_Product
GIN + TONIC DIET METAL SIGN,167,11,0.066,0.032,0.034,Risky_Product
METAL SIGN EMPIRE TEA,91,6,0.066,0.032,0.034,Risky_Product
MINI PLAYING CARDS BUFFALO BILL,106,7,0.066,0.032,0.034,Risky_Product
LIPSTICK PEN FUSCHIA,61,4,0.066,0.032,0.034,Risky_Product
PACK OF 6 PANNETONE GIFT BOXES,31,2,0.065,0.032,0.033,Risky_Product
SAVE THE PLANET COTTON TOTE BAG,31,2,0.065,0.032,0.033,Risky_Product
SET OF 4 ENGLISH ROSE COASTERS,46,3,0.065,0.032,0.033,Risky_Product
RED LOVE HEART SHAPE CUP,31,2,0.065,0.032,0.033,Risky_Product
RED DRAWER KNOB ACRYLIC EDWARDIAN,31,2,0.065,0.032,0.033,Risky_Product
FRENCH KITCHEN SIGN BLUE METAL,31,2,0.065,0.032,0.033,Risky_Product
FIRST AID TIN,31,2,0.065,0.032,0.033,Risky_Product
CARAVAN SQUARE TISSUE BOX,62,4,0.065,0.032,0.033,Risky_Product
CARD BILLBOARD FONT,92,6,0.065,0.032,0.033,Risky_Product
BLACK HEART CARD HOLDER,47,3,0.064,0.032,0.032,Risky_Product
FELTCRAFT CUSHION OWL,140,9,0.064,0.032,0.032,Risky_Product
GINGHAM RECIPE BOOK BOX,78,5,0.064,0.032,0.032,Risky_Product
GLAMOROUS MUG,47,3,0.064,0.032,0.032,Risky_Product
HEART SHAPED HOLLY WREATH,109,7,0.064,0.032,0.032,Risky_Product
ROCKING HORSE GREEN CHRISTMAS,110,7,0.064,0.032,0.032,Risky_Product
REGENCY TEA PLATE GREEN,64,4,0.063,0.032,0.031,Risky_Product
"RECORD FRAME 7"" SINGLE SIZE",63,4,0.063,0.032,0.031,Risky_Product
SILVER HEARTS TABLE DECORATION,95,6,0.063,0.032,0.031,Risky_Product
OFFICE MUG WARMER PINK,32,2,0.063,0.032,0.031,Risky_Product
HOME SWEET HOME 2 DRAWER CABINET,48,3,0.063,0.032,0.031,Risky_Product
FRYING PAN RED RETROSPOT,48,3,0.063,0.032,0.031,Risky_Product
BAKING MOULD HEART MILK CHOCOLATE,32,2,0.063,0.032,0.031,Risky_Product
12 PENCIL SMALL TUBE WOODLAND,205,13,0.063,0.032,0.031,Risky_Product
WORLD WAR 2 GLIDERS ASSTD DESIGNS,190,12,0.063,0.032,0.031,Risky_Product
VINTAGE LEAF MAGNETIC NOTEPAD,128,8,0.063,0.032,0.031,Risky_Product
SMALL DOLLY MIX DESIGN ORANGE BOWL,144,9,0.063,0.032,0.031,Risky_Product
BLUE HAPPY BIRTHDAY BUNTING,65,4,0.062,0.032,0.03,Risky_Product
CHOCOLATE THIS WAY METAL SIGN,113,7,0.062,0.032,0.03,Risky_Product
BUTTON BOX,33,2,0.061,0.032,0.029,Risky_Product
CACTI T-LIGHT CANDLES,33,2,0.061,0.032,0.029,Risky_Product
EGG CUP MILKMAID HELGA,49,3,0.061,0.032,0.029,Risky_Product
GARLAND WITH HEARTS AND BELLS,33,2,0.061,0.032,0.029,Risky_Product
PRETTY HANGING QUILTED HEARTS,33,2,0.061,0.032,0.029,Risky_Product
RED RETROSPOT PLATE,49,3,0.061,0.032,0.029,Risky_Product
ROUND CONTAINER SET OF 5 RETROSPOT,33,2,0.061,0.032,0.029,Risky_Product
SAVE THE PLANET MUG,83,5,0.06,0.032,0.028,Risky_Product
PENNY FARTHING BIRTHDAY CARD,50,3,0.06,0.032,0.028,Risky_Product
METAL SIGN DROP YOUR PANTS,134,8,0.06,0.032,0.028,Risky_Product
DOORSTOP RETROSPOT HEART,83,5,0.06,0.032,0.028,Risky_Product
DOORMAT WELCOME PUPPIES,50,3,0.06,0.032,0.028,Risky_Product
FANCY FONTS BIRTHDAY WRAP,83,5,0.06,0.032,0.028,Risky_Product
60 CAKE CASES DOLLY GIRL DESIGN,117,7,0.06,0.032,0.028,Risky_Product
50'S CHRISTMAS PAPER GIFT BAG,85,5,0.059,0.032,0.027,Risky_Product
CARDHOLDER GINGHAM STAR,34,2,0.059,0.032,0.027,Risky_Product
CHILDRENS CUTLERY DOLLY GIRL,102,6,0.059,0.032,0.027,Risky_Product
DRAWER KNOB CRACKLE GLAZE IVORY,51,3,0.059,0.032,0.027,Risky_Product
MAKE YOUR OWN FLOWERPOWER CARD KIT,68,4,0.059,0.032,0.027,Risky_Product
PACK 3 BOXES CHRISTMAS PANNETONE,34,2,0.059,0.032,0.027,Risky_Product
SET OF 10 LED DOLLY LIGHTS,153,9,0.059,0.032,0.027,Risky_Product
SILVER FABRIC MIRROR,34,2,0.059,0.032,0.027,Risky_Product
RETRO LONGBOARD IRONING BOARD COVER,34,2,0.059,0.032,0.027,Risky_Product
RETROSPOT RED WASHING UP GLOVES,34,2,0.059,0.032,0.027,Risky_Product
WOODLAND LARGE RED FELT HEART,34,2,0.059,0.032,0.027,Risky_Product
OFFICE MUG WARMER CHOC+BLUE,52,3,0.058,0.032,0.026,Risky_Product
PINK DOUGHNUT TRINKET POT,69,4,0.058,0.032,0.026,Risky_Product
PANTRY SCRUBBING BRUSH,52,3,0.058,0.032,0.026,Risky_Product
BLUE STRIPE CERAMIC DRAWER KNOB,69,4,0.058,0.032,0.026,Risky_Product
BABUSHKA LIGHTS STRING OF 10,35,2,0.057,0.032,0.025,Risky_Product
EMBROIDERED RIBBON REEL SALLY,53,3,0.057,0.032,0.025,Risky_Product
HERB MARKER CHIVES,35,2,0.057,0.032,0.025,Risky_Product
PAPER BUNTING RETROSPOT,88,5,0.057,0.032,0.025,Risky_Product
ORIGAMI LAVENDER INCENSE/CANDL SET,35,2,0.057,0.032,0.025,Risky_Product
PACK OF 12 SKULL TISSUES,53,3,0.057,0.032,0.025,Risky_Product
RAIN PONCHO RETROSPOT,70,4,0.057,0.032,0.025,Risky_Product
STORAGE TIN VINTAGE DOILY,88,5,0.057,0.032,0.025,Risky_Product
RED ENCHANTED FOREST PLACEMAT,36,2,0.056,0.032,0.024,Risky_Product
SET OF 6 T-LIGHTS SNOWMEN,107,6,0.056,0.032,0.024,Risky_Product
SET OF 3 NOTEBOOKS IN PARCEL,107,6,0.056,0.032,0.024,Risky_Product
PACK OF 6 COCKTAIL PARASOL STRAWS,54,3,0.056,0.032,0.024,Risky_Product
PINK PAISLEY SQUARE TISSUE BOX,72,4,0.056,0.032,0.024,Risky_Product
HOME SWEET HOME BOTTLE,54,3,0.056,0.032,0.024,Risky_Product
HOME BUILDING BLOCK WORD,146,8,0.055,0.032,0.023,Risky_Product
BOX OF 24 COCKTAIL PARASOLS,127,7,0.055,0.032,0.023,Risky_Product
CHRISTMAS METAL TAGS ASSORTED,110,6,0.055,0.032,0.023,Risky_Product
PARTY BUNTING,182,10,0.055,0.032,0.023,Risky_Product
PACK OF 12 PAISLEY PARK TISSUES,73,4,0.055,0.032,0.023,Risky_Product
MUSICAL ZINC HEART DECORATION,109,6,0.055,0.032,0.023,Risky_Product
SET OF 5 PANCAKE DAY MAGNETS,73,4,0.055,0.032,0.023,Risky_Product
RED CHARLIE+LOLA PERSONAL DOORSIGN,73,4,0.055,0.032,0.023,Risky_Product
RED SPOT GIFT BAG LARGE,73,4,0.055,0.032,0.023,Risky_Product
SMALL IVORY HEART WALL ORGANISER,55,3,0.055,0.032,0.023,Risky_Product
WRAP RED VINTAGE DOILY,55,3,0.055,0.032,0.023,Risky_Product
VINTAGE SNAKES & LADDERS,112,6,0.054,0.032,0.022,Risky_Product
STRAWBERRY LUNCH BOX WITH CUTLERY,93,5,0.054,0.032,0.022,Risky_Product
TRAVEL CARD WALLET RETROSPOT,56,3,0.054,0.032,0.022,Risky_Product
TRAVEL CARD WALLET SUKI,56,3,0.054,0.032,0.022,Risky_Product
POPPY'S PLAYHOUSE KITCHEN,111,6,0.054,0.032,0.022,Risky_Product
SET OF 3 WOODEN SLEIGH DECORATIONS,205,11,0.054,0.032,0.022,Risky_Product
OVEN MITT APPLES DESIGN,74,4,0.054,0.032,0.022,Risky_Product
PANTRY KITCHEN THERMOMETER,37,2,0.054,0.032,0.022,Risky_Product
MEDIUM PARLOUR PICTURE FRAME,56,3,0.054,0.032,0.022,Risky_Product
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,74,4,0.054,0.032,0.022,Risky_Product
10 COLOUR SPACEBOY PEN,92,5,0.054,0.032,0.022,Risky_Product
GLITTER CHRISTMAS TREE,37,2,0.054,0.032,0.022,Risky_Product
HAND OVER THE CHOCOLATE SIGN,149,8,0.054,0.032,0.022,Risky_Product
DISCO BALL CHRISTMAS DECORATION,148,8,0.054,0.032,0.022,Risky_Product
DISCO BALL ROTATOR BATTERY OPERATED,37,2,0.054,0.032,0.022,Risky_Product
FAWN BLUE HOT WATER BOTTLE,224,12,0.054,0.032,0.022,Risky_Product
ENGLISH ROSE NOTEBOOK A7 SIZE,95,5,0.053,0.032,0.021,Risky_Product
GROW A FLYTRAP OR SUNFLOWER IN TIN,76,4,0.053,0.032,0.021,Risky_Product
HERB MARKER BASIL,38,2,0.053,0.032,0.021,Risky_Product
4 WILDFLOWER BOTANICAL CANDLES,38,2,0.053,0.032,0.021,Risky_Product
BAKING SET SPACEBOY DESIGN,187,10,0.053,0.032,0.021,Risky_Product
CHRISTMAS CARD SCREEN PRINT,38,2,0.053,0.032,0.021,Risky_Product
LUNCH BOX WITH CUTLERY RETROSPOT,76,4,0.053,0.032,0.021,Risky_Product
PACK OF 60 DINOSAUR CAKE CASES,133,7,0.053,0.032,0.021,Risky_Product
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,38,2,0.053,0.032,0.021,Risky_Product
RED HARMONICA IN BOX,132,7,0.053,0.032,0.021,Risky_Product
ROSE 3 WICK MORRIS BOX CANDLE,95,5,0.053,0.032,0.021,Risky_Product
ROLL WRAP VINTAGE SPOT,227,12,0.053,0.032,0.021,Risky_Product
TOY TIDY DOLLY GIRL DESIGN,38,2,0.053,0.032,0.021,Risky_Product
WOOD 2 DRAWER CABINET WHITE FINISH,189,10,0.053,0.032,0.021,Risky_Product
WOODEN PICTURE FRAME WHITE FINISH,225,12,0.053,0.032,0.021,Risky_Product
REGENCY TEA PLATE ROSES,77,4,0.052,0.032,0.02,Risky_Product
POSTAGE,328,17,0.052,0.032,0.02,Risky_Product
SET OF 12 VINTAGE POSTCARD SET,58,3,0.052,0.032,0.02,Risky_Product
PEARLISED IVORY HEART LARGE,58,3,0.052,0.032,0.02,Risky_Product
MAGIC DRAWING SLATE CIRCUS PARADE,77,4,0.052,0.032,0.02,Risky_Product
MINI PLAYING CARDS FUN FAIR,58,3,0.052,0.032,0.02,Risky_Product
MINIATURE ANTIQUE ROSE HOOK IVORY,96,5,0.052,0.032,0.02,Risky_Product
CHRISTMAS PUDDING TRINKET POT,153,8,0.052,0.032,0.02,Risky_Product
CARROT CHARLIE+LOLA COASTER SET,59,3,0.051,0.032,0.019,Risky_Product
HOLIDAY FUN LUDO,78,4,0.051,0.032,0.019,Risky_Product
HEART MINI PORTRAIT FRAME,118,6,0.051,0.032,0.019,Risky_Product
NOEL WOODEN BLOCK LETTERS,78,4,0.051,0.032,0.019,Risky_Product
SET OF 2 CERAMIC PAINTED HEARTS,78,4,0.051,0.032,0.019,Risky_Product
SCANDINAVIAN PAISLEY PICNIC BAG,59,3,0.051,0.032,0.019,Risky_Product
SILVER STARS TABLE DECORATION,156,8,0.051,0.032,0.019,Risky_Product
ROUND SNACK BOXES SET OF 4 SKULLS,59,3,0.051,0.032,0.019,Risky_Product
ZINC METAL HEART DECORATION,177,9,0.051,0.032,0.019,Risky_Product
TOOTHPASTE TUBE PEN,59,3,0.051,0.032,0.019,Risky_Product
STOOL HOME SWEET HOME,39,2,0.051,0.032,0.019,Risky_Product
SMALL WHITE HEART OF WICKER,335,17,0.051,0.032,0.019,Risky_Product
SMALL FOLDING SCISSOR(POINTED EDGE),39,2,0.051,0.032,0.019,Risky_Product
SKULL SHOULDER BAG,39,2,0.051,0.032,0.019,Risky_Product
SWALLOW WOODEN CHRISTMAS DECORATION,119,6,0.05,0.032,0.018,Risky_Product
WICKER WREATH LARGE,80,4,0.05,0.032,0.018,Risky_Product
WALL ART HORSE & PONY,40,2,0.05,0.032,0.018,Risky_Product
PLASTERS IN TIN VINTAGE PAISLEY,181,9,0.05,0.032,0.018,Risky_Product
SET OF 4 NAPKIN CHARMS HEARTS,60,3,0.05,0.032,0.018,Risky_Product
SET OF 4 KNICK KNACK TINS LEAF,60,3,0.05,0.032,0.018,Risky_Product
PACK OF 12 VINTAGE CHRISTMAS TISSUE,119,6,0.05,0.032,0.018,Risky_Product
PETIT TRAY CHIC,80,4,0.05,0.032,0.018,Risky_Product
MILK MAIDS MUG,40,2,0.05,0.032,0.018,Risky_Product
FELTCRAFT PRINCESS CHARLOTTE DOLL,160,8,0.05,0.032,0.018,Risky_Product
6 GIFT TAGS VINTAGE CHRISTMAS,221,11,0.05,0.032,0.018,Risky_Product
ANTIQUE SILVER TEA GLASS ENGRAVED,123,6,0.049,0.032,0.017,Risky_Product
CERAMIC PLATE STRAWBERRY DESIGN,41,2,0.049,0.032,0.017,Risky_Product
CHRISTMAS GINGHAM STAR,103,5,0.049,0.032,0.017,Risky_Product
CLOTHES PEGS RETROSPOT PACK 24,164,8,0.049,0.032,0.017,Risky_Product
FLORAL FOLK STATIONERY SET,143,7,0.049,0.032,0.017,Risky_Product
HEART IVORY TRELLIS SMALL,61,3,0.049,0.032,0.017,Risky_Product
PACK OF 12 DOLLY GIRL TISSUES,61,3,0.049,0.032,0.017,Risky_Product
SET OF 5 LUCKY CAT MAGNETS,81,4,0.049,0.032,0.017,Risky_Product
SET OF 2 TEA TOWELS APPLE AND PEARS,82,4,0.049,0.032,0.017,Risky_Product
RED RETROSPOT PICNIC BAG,41,2,0.049,0.032,0.017,Risky_Product
VINTAGE CHRISTMAS PAPER GIFT BAG,61,3,0.049,0.032,0.017,Risky_Product
WOODEN HEART CHRISTMAS SCANDINAVIAN,388,19,0.049,0.032,0.017,Risky_Product
VICTORIAN SEWING BOX MEDIUM,61,3,0.049,0.032,0.017,Risky_Product
TRAVEL CARD WALLET KEEP CALM,145,7,0.048,0.032,0.016,Risky_Product
TEA TIME OVEN GLOVE,83,4,0.048,0.032,0.016,Risky_Product
TOILET SIGN OCCUPIED OR VACANT,63,3,0.048,0.032,0.016,Risky_Product
VINTAGE JINGLE BELLS HEART,124,6,0.048,0.032,0.016,Risky_Product
ROMANTIC PINKS RIBBONS,63,3,0.048,0.032,0.016,Risky_Product
POPPY'S PLAYHOUSE BEDROOM,104,5,0.048,0.032,0.016,Risky_Product
SET OF 3 BUTTERFLY COOKIE CUTTERS,165,8,0.048,0.032,0.016,Risky_Product
SET OF 6 SNACK LOAF BAKING CASES,145,7,0.048,0.032,0.016,Risky_Product
PACK OF 12 RED APPLE TISSUES,42,2,0.048,0.032,0.016,Risky_Product
OFFICE MUG WARMER BLACK+SILVER,42,2,0.048,0.032,0.016,Risky_Product
PENS ASSORTED SPACEBALL,63,3,0.048,0.032,0.016,Risky_Product
PINK FAIRY CAKE CHILDRENS APRON,167,8,0.048,0.032,0.016,Risky_Product
PARTY METAL SIGN,126,6,0.048,0.032,0.016,Risky_Product
PARTY TIME PENCIL ERASERS,42,2,0.048,0.032,0.016,Risky_Product
PANTRY 3 HOOK ROLLING PIN HANGER,42,2,0.048,0.032,0.016,Risky_Product
METAL SIGN HIS DINNER IS SERVED,42,2,0.048,0.032,0.016,Risky_Product
HOME SWEET HOME MUG,83,4,0.048,0.032,0.016,Risky_Product
GIN AND TONIC MUG,62,3,0.048,0.032,0.016,Risky_Product
EGG CUP MILKMAID INGRID,62,3,0.048,0.032,0.016,Risky_Product
EDWARDIAN PARASOL BLACK,83,4,0.048,0.032,0.016,Risky_Product
CHRISTMAS CRAFT TREE TOP ANGEL,272,13,0.048,0.032,0.016,Risky_Product
CERAMIC STRAWBERRY CAKE MONEY BANK,84,4,0.048,0.032,0.016,Risky_Product
CHARLOTTE BAG SUKI DESIGN,146,7,0.048,0.032,0.016,Risky_Product
CARD HOLDER GINGHAM HEART,63,3,0.048,0.032,0.016,Risky_Product
AIRLINE BAG VINTAGE WORLD CHAMPION,42,2,0.048,0.032,0.016,Risky_Product
GLASS JAR ENGLISH CONFECTIONERY,64,3,0.047,0.032,0.015,Risky_Product
HANGING BUTTERFLY T-LIGHT HOLDER,85,4,0.047,0.032,0.015,Risky_Product
JUMBO BAG PINK VINTAGE PAISLEY,149,7,0.047,0.032,0.015,Risky_Product
SET OF 6 T-LIGHTS CACTI,43,2,0.047,0.032,0.015,Risky_Product
RUSTIC MIRROR WITH LACE HEART,43,2,0.047,0.032,0.015,Risky_Product
STRAWBERRY CHARLOTTE BAG,107,5,0.047,0.032,0.015,Risky_Product
WICKER STAR,196,9,0.046,0.032,0.014,Risky_Product
WOODEN STAR CHRISTMAS SCANDINAVIAN,415,19,0.046,0.032,0.014,Risky_Product
SET 2 PANTRY DESIGN TEA TOWELS,65,3,0.046,0.032,0.014,Risky_Product
SET OF 3 WOODEN TREE DECORATIONS,195,9,0.046,0.032,0.014,Risky_Product
LADIES & GENTLEMEN METAL SIGN,130,6,0.046,0.032,0.014,Risky_Product
MODERN FLORAL STATIONERY SET,108,5,0.046,0.032,0.014,Risky_Product
HANGING HEART WITH BELL,108,5,0.046,0.032,0.014,Risky_Product
GINGHAM HEART DECORATION,173,8,0.046,0.032,0.014,Risky_Product
HEART T-LIGHT HOLDER WILLIE WINKIE,65,3,0.046,0.032,0.014,Risky_Product
FELTCRAFT PRINCESS OLIVIA DOLL,131,6,0.046,0.032,0.014,Risky_Product
BLUE SPOT CERAMIC DRAWER KNOB,65,3,0.046,0.032,0.014,Risky_Product
CHRISTMAS CRAFT WHITE FAIRY,262,12,0.046,0.032,0.014,Risky_Product
CHRISTMAS TREE HANGING GOLD,44,2,0.045,0.032,0.013,Risky_Product
BOTANICAL GARDENS WALL CLOCK,132,6,0.045,0.032,0.013,Risky_Product
CHARLIE+LOLA MY ROOM DOOR SIGN,44,2,0.045,0.032,0.013,Risky_Product
BISCUIT TIN 50'S CHRISTMAS,201,9,0.045,0.032,0.013,Risky_Product
12 PENCILS SMALL TUBE RED RETROSPOT,178,8,0.045,0.032,0.013,Risky_Product
36 PENCILS TUBE RED RETROSPOT,88,4,0.045,0.032,0.013,Risky_Product
EGG FRYING PAN BLUE,44,2,0.045,0.032,0.013,Risky_Product
JAZZ HEARTS ADDRESS BOOK,89,4,0.045,0.032,0.013,Risky_Product
GUMBALL MAGAZINE RACK,44,2,0.045,0.032,0.013,Risky_Product
PACK OF 20 NAPKINS PANTRY DESIGN,112,5,0.045,0.032,0.013,Risky_Product
PENS ASSORTED FUNNY FACE,89,4,0.045,0.032,0.013,Risky_Product
