Description,Repeat_Customers,Unique_Customers,Repeat_Rate,Repeat_Product_Flag
BLUE DINER WALL CLOCK,7,89,0.0787,1
BLUE DISCO HANDBAG,0,7,0,0
BLUE DRAGONFLY HELICOPTER,0,6,0,0
BLUE DRAWER KNOB ACRYLIC EDWARDIAN,1,22,0.0455,1
BLUE EASTER EGG HUNT START POST,0,2,0,0
BLUE EGG SPOON,1,20,0.05,1
BLUE FLY SWAT,1,14,0.0714,1
BLUE GIANT GARDEN THERMOMETER,0,9,0,0
BLUE GLASS CHUNKY CHARM BRACELET,0,2,0,0
BLUE GLASS GEMS IN BAG,0,2,0,0
BLUE GREEN EMBROIDERY COSMETIC BAG,0,4,0,0
BLUE HAPPY BIRTHDAY BUNTING,2,66,0.0303,1
BLUE HARMONICA IN BOX,30,284,0.1056,1
BLUE HOLE PUNCH,0,6,0,0
BLUE JUICY FRUIT PHOTO FRAME,0,9,0,0
BLUE MURANO TWIST BRACELET,0,2,0,0
BLUE ORGANDY ROUND LAMPSHADE W BEA,0,3,0,0
BLUE OWL SOFT TOY,0,14,0,0
BLUE PAISLEY JOURNAL,2,26,0.0769,1
BLUE PAISLEY POCKET BOOK,2,26,0.0769,1
BLUE PAISLEY SKETCHBOOK,0,17,0,0
BLUE PAISLEY TISSUE BOX,3,56,0.0536,1
BLUE PARTY BAGS,2,18,0.1111,1
BLUE POLKADOT BEAKER,0,9,0,0
BLUE POLKADOT BOWL,4,51,0.0784,1
BLUE POLKADOT CUP,3,41,0.0732,1
BLUE POLKADOT GARDEN PARASOL,0,2,0,0
BLUE POLKADOT KIDS BAG,1,6,0.1667,1
BLUE POLKADOT LUGGAGE TAG,3,16,0.1875,1
BLUE POLKADOT PASSPORT COVER,0,15,0,0
BLUE POLKADOT PLATE,0,2,0,0
BLUE POLKADOT PURSE,0,4,0,0
BLUE POLKADOT WASHING UP GLOVES,1,29,0.0345,1
BLUE POLKADOT WRAP,2,56,0.0357,1
BLUE POT PLANT CANDLE,2,27,0.0741,1
BLUE PUDDING SPOON,0,22,0,0
BLUE REFECTORY CLOCK,2,43,0.0465,1
BLUE RETRO KITCHEN WALL CLOCK,1,28,0.0357,1
BLUE ROSE FABRIC MIRROR,2,19,0.1053,1
BLUE SCANDINAVIAN PAISLEY WRAP,0,11,0,0
BLUE SCOTTIE DOG W FLOWER PATTERN,1,15,0.0667,1
BLUE SPOT CERAMIC DRAWER KNOB,4,67,0.0597,1
BLUE STONES ON WIRE FOR CANDLE,0,2,0,0
BLUE STRIPE CERAMIC DRAWER KNOB,4,72,0.0556,1
BLUE TABLE RUN FLOWER,0,5,0,0
BLUE TILE HOOK,0,9,0,0
BLUE VICTORIAN FABRIC OVAL BOX,1,22,0.0455,1
BLUE VINTAGE SPOT BEAKER,2,42,0.0476,1
BLUE VOILE LAMPSHADE,0,2,0,0
BLUE/CREAM STRIPE CUSHION COVER,1,21,0.0476,1
BLUE/YELLOW FLOWER DESIGN BIG MUG,0,4,0,0
BOHEMIAN COLLAGE STATIONERY SET,5,56,0.0893,1
BOOM BOX SPEAKER BOYS,3,42,0.0714,1
BOOM BOX SPEAKER GIRLS,0,22,0,0
BOOZE & WOMEN GREETING CARD,0,4,0,0
BOTANICAL GARDENS WALL CLOCK,23,134,0.1716,1
BOTANICAL LAVENDER BIRTHDAY CARD,1,13,0.0769,1
BOTANICAL LAVENDER GIFT WRAP,0,7,0,0
BOTANICAL LILY GIFT WRAP,0,1,0,0
BOTANICAL LILY GREETING CARD,0,8,0,0
BOTANICAL ROSE GIFT WRAP,0,7,0,0
BOTTLE BAG RETROSPOT,3,22,0.1364,1
BOUDOIR SQUARE TISSUE BOX,13,74,0.1757,1
BOX OF 24 COCKTAIL PARASOLS,12,127,0.0945,1
BOX OF 6 ASSORTED COLOUR TEASPOONS,2,18,0.1111,1
BOX OF 6 CHRISTMAS CAKE DECORATIONS,28,216,0.1296,1
BOX OF 6 MINI 50'S CRACKERS,45,333,0.1351,1
BOX OF 6 MINI VINTAGE CRACKERS,35,291,0.1203,1
BOX OF 9 PEBBLE CANDLES,0,9,0,0
BOX OF VINTAGE ALPHABET BLOCKS,5,86,0.0581,1
BOX OF VINTAGE JIGSAW BLOCKS,5,103,0.0485,1
BOYS ALPHABET IRON ON PATCHES,1,3,0.3333,1
BOYS VINTAGE TIN SEASIDE BUCKET,2,19,0.1053,1
BREAD BIN DINER STYLE IVORY,9,121,0.0744,1
BREAD BIN DINER STYLE MINT,0,2,0,0
BREAD BIN DINER STYLE PINK,0,5,0,0
BREAD BIN DINER STYLE RED,9,68,0.1324,1
BREAD BIN; DINER STYLE; IVORY,0,1,0,0
BROCADE RING PURSE,8,97,0.0825,1
BROCANTE SHELF WITH HOOKS,0,14,0,0
BROWN CHECK CAT DOORSTOP,1,13,0.0769,1
BROWN KUKUI COCONUT SEED NECKLACE,0,2,0,0
BROWN PIRATE TREASURE CHEST,2,25,0.08,1
BUBBLEGUM RING ASSORTED,9,131,0.0687,1
BUFFALO BILL TREASURE BOOK BOX,5,51,0.098,1
BUFFALO BILL WALL ART,0,9,0,0
BULL DOG BOTTLE OPENER,9,69,0.1304,1
BULL DOG BOTTLE TOP WALL CLOCK,0,17,0,0
BUNDLE OF 3 ALPHABET EXERCISE BOOKS,12,149,0.0805,1
BUNDLE OF 3 RETRO NOTE BOOKS,6,119,0.0504,1
BUNDLE OF 3 SCHOOL EXERCISE BOOKS,6,80,0.075,1
BUNNY DECORATION MAGIC GARDEN,0,2,0,0
BUNNY EGG GARLAND,0,2,0,0
BUNNY WOODEN PAINTED WITH BIRD,1,27,0.037,1
BUNNY WOODEN PAINTED WITH FLOWER,0,18,0,0
BUNTING ; SPOTTY,0,2,0,0
BUTTERFLIES STICKERS,1,13,0.0769,1
BUTTERFLY CROCHET FOOD COVER,0,6,0,0
BUTTON BOX,2,33,0.0606,1
BUTTONS AND STRIPES NOTEBOOK,0,2,0,0
CABIN BAG VINTAGE PAISLEY,0,7,0,0
CABIN BAG VINTAGE RETROSPOT,1,7,0.1429,1
CACTI T-LIGHT CANDLES,2,34,0.0588,1
CAKE PLATE LOVEBIRD PINK,1,6,0.1667,1
CAKE PLATE LOVEBIRD WHITE,2,32,0.0625,1
CAKE STAND 3 TIER MAGIC GARDEN,2,19,0.1053,1
CAKE STAND LOVEBIRD 2 TIER PINK,1,21,0.0476,1
CAKE STAND LOVEBIRD 2 TIER WHITE,2,48,0.0417,1
CAKE STAND VICTORIAN FILIGREE MED,0,2,0,0
CAKE STAND VICTORIAN FILIGREE SMALL,1,27,0.037,1
CAKE STAND WHITE TWO TIER LACE,3,48,0.0625,1
CAKES AND BOWS GIFT TAPE,0,10,0,0
CAKES AND RABBITS DESIGN FLANNEL,0,5,0,0
CALENDAR FAMILY FAVOURITES,1,19,0.0526,1
CALENDAR IN SEASON DESIGN,3,38,0.0789,1
CALENDAR PAPER CUT DESIGN,5,46,0.1087,1
CAMOUFLAGE EAR MUFF HEADPHONES,1,6,0.1667,1
CAMOUFLAGE LED TORCH,2,64,0.0313,1
CAMPHOR WOOD PORTOBELLO MUSHROOM,1,10,0.1,1
CANDLE HOLDER SILVER MADELINE,1,15,0.0667,1
CANDLE PLATE LACE WHITE,0,4,0,0
CANDY HEART HANGING DECORATION,2,20,0.1,1
CANDY SHOP STICKER SHEET,0,3,0,0
CANDY SPOT BUNNY,0,5,0,0
CANDY SPOT EGG WARMER HARE,0,2,0,0
CANDY SPOT EGG WARMER RABBIT,0,18,0,0
CANDY SPOT HAND BAG,1,8,0.125,1
CARAVAN SQUARE TISSUE BOX,6,62,0.0968,1
CARD BILLBOARD FONT,3,92,0.0326,1
CARD BIRTHDAY COWBOY,1,35,0.0286,1
CARD CAT AND TREE,0,14,0,0
CARD CHRISTMAS VILLAGE,7,136,0.0515,1
CARD CIRCUS PARADE,1,43,0.0233,1
CARD DOG AND BALL,0,12,0,0
CARD DOLLY GIRL,4,68,0.0588,1
CARD GINGHAM ROSE,0,20,0,0
CARD HOLDER GINGHAM HEART,3,63,0.0476,1
CARD HOLDER LOVE BIRD LARGE,11,83,0.1325,1
CARD HOLDER LOVE BIRD SMALL,4,79,0.0506,1
CARD I LOVE LONDON,0,23,0,0
CARD MOTORBIKE SANTA,7,150,0.0467,1
CARD PARTY GAMES,1,29,0.0345,1
CARD PSYCHEDELIC APPLES,0,25,0,0
CARD SUKI BIRTHDAY,2,35,0.0571,1
CARD WEDDING DAY,0,3,0,0
CARDHOLDER GINGHAM CHRISTMAS TREE,5,54,0.0926,1
CARDHOLDER GINGHAM STAR,2,34,0.0588,1
CARDHOLDER HOLLY WREATH METAL,5,83,0.0602,1
CAROUSEL DESIGN WASHBAG,0,12,0,0
