CustomerID,Num_Orders,First_Purchase,Last_Purchase,Days_From_Last,Churn_Critical_Window,Churn_Risk_Group
12420,1,55:00.0,55:00.0,63,63,At Risk - First_Customer
12421,5,09:00.0,07:00.0,319,63,At Risk - Repeat Customer
12422,3,13:00.0,48:00.0,324,63,At Risk - Repeat Customer
12423,9,54:00.0,10:00.0,353,63,At Risk - Repeat Customer
12424,1,06:00.0,06:00.0,162,63,At Risk - First_Customer
12425,1,31:00.0,31:00.0,78,63,At Risk - First_Customer
12426,1,26:00.0,26:00.0,194,63,At Risk - First_Customer
12427,5,44:00.0,48:00.0,371,63,At Risk - Repeat Customer
12428,12,33:00.0,22:00.0,283,63,At Risk - Repeat Customer
12429,4,05:00.0,22:00.0,365,63,At Risk - Repeat Customer
12430,1,09:00.0,09:00.0,43,63,Grace Period
12431,18,03:00.0,55:00.0,373,63,At Risk - Repeat Customer
12432,5,27:00.0,43:00.0,172,63,At Risk - Repeat Customer
12433,7,24:00.0,02:00.0,373,63,At Risk - Repeat Customer
12434,4,12:00.0,38:00.0,360,63,At Risk - Repeat Customer
12435,2,40:00.0,06:00.0,267,63,At Risk - Repeat Customer
12436,1,09:00.0,09:00.0,99,63,At Risk - First_Customer
12437,19,13:00.0,35:00.0,331,63,At Risk - Repeat Customer
12438,2,29:00.0,28:00.0,140,63,At Risk - Repeat Customer
12441,1,45:00.0,45:00.0,366,63,At Risk - First_Customer
12442,1,22:00.0,22:00.0,3,63,Grace Period
12444,5,00:00.0,23:00.0,171,63,At Risk - Repeat Customer
12445,1,43:00.0,43:00.0,22,63,Grace Period
12446,1,50:00.0,50:00.0,57,63,Grace Period
12447,1,25:00.0,25:00.0,243,63,At Risk - First_Customer
12448,1,46:00.0,46:00.0,44,63,Grace Period
12449,4,37:00.0,46:00.0,187,63,At Risk - Repeat Customer
12450,2,36:00.0,41:00.0,173,63,At Risk - Repeat Customer
12451,6,05:00.0,40:00.0,324,63,At Risk - Repeat Customer
12452,3,05:00.0,28:00.0,16,63,Healthy
12453,1,08:00.0,08:00.0,134,63,At Risk - First_Customer
12454,2,13:00.0,07:00.0,56,63,Approaching At-Risk - Repeat Customer
12455,6,56:00.0,31:00.0,296,63,At Risk - Repeat Customer
12456,4,12:00.0,41:00.0,254,63,At Risk - Repeat Customer
12457,11,57:00.0,46:00.0,239,63,At Risk - Repeat Customer
12458,2,55:00.0,25:00.0,284,63,At Risk - Repeat Customer
12461,2,23:00.0,57:00.0,154,63,At Risk - Repeat Customer
12462,4,44:00.0,02:00.0,303,63,At Risk - Repeat Customer
12463,7,47:00.0,43:00.0,241,63,At Risk - Repeat Customer
12464,8,30:00.0,33:00.0,309,63,At Risk - Repeat Customer
12465,3,37:00.0,34:00.0,169,63,At Risk - Repeat Customer
12468,3,29:00.0,42:00.0,316,63,At Risk - Repeat Customer
12471,49,37:00.0,43:00.0,372,63,At Risk - Repeat Customer
12472,13,33:00.0,33:00.0,373,63,At Risk - Repeat Customer
12473,9,15:00.0,48:00.0,191,63,At Risk - Repeat Customer
12474,30,00:00.0,39:00.0,368,63,At Risk - Repeat Customer
12475,1,10:00.0,10:00.0,53,63,Grace Period
12476,20,37:00.0,08:00.0,361,63,At Risk - Repeat Customer
12477,9,09:00.0,51:00.0,311,63,At Risk - Repeat Customer
12478,1,56:00.0,56:00.0,3,63,Grace Period
12479,3,26:00.0,25:00.0,11,63,Healthy
12480,4,27:00.0,52:00.0,336,63,At Risk - Repeat Customer
12481,11,13:00.0,29:00.0,365,63,At Risk - Repeat Customer
12483,13,20:00.0,03:00.0,339,63,At Risk - Repeat Customer
12484,8,04:00.0,37:00.0,336,63,At Risk - Repeat Customer
12488,3,34:00.0,50:00.0,75,63,At Risk - Repeat Customer
12489,1,13:00.0,13:00.0,336,63,At Risk - First_Customer
12490,10,13:00.0,07:00.0,329,63,At Risk - Repeat Customer
12491,1,18:00.0,18:00.0,38,63,Grace Period
12492,2,51:00.0,15:00.0,105,63,At Risk - Repeat Customer
12493,3,53:00.0,17:00.0,197,63,At Risk - Repeat Customer
12494,12,31:00.0,21:00.0,365,63,At Risk - Repeat Customer
12497,1,29:00.0,29:00.0,81,63,At Risk - First_Customer
12498,3,30:00.0,53:00.0,57,63,Approaching At-Risk - Repeat Customer
12500,13,48:00.0,20:00.0,333,63,At Risk - Repeat Customer
12501,2,28:00.0,54:00.0,336,63,At Risk - Repeat Customer
12502,5,41:00.0,52:00.0,309,63,At Risk - Repeat Customer
12503,1,51:00.0,51:00.0,337,63,At Risk - First_Customer
12504,4,56:00.0,02:00.0,30,63,Healthy
12505,1,39:00.0,39:00.0,301,63,At Risk - First_Customer
12506,1,54:00.0,54:00.0,232,63,At Risk - First_Customer
12507,4,24:00.0,09:00.0,298,63,At Risk - Repeat Customer
12508,2,27:00.0,37:00.0,29,63,Healthy
12509,1,45:00.0,45:00.0,284,63,At Risk - First_Customer
12510,2,04:00.0,15:00.0,325,63,At Risk - Repeat Customer
12512,2,53:00.0,55:00.0,66,63,At Risk - Repeat Customer
12513,2,51:00.0,45:00.0,112,63,At Risk - Repeat Customer
12514,1,38:00.0,38:00.0,267,63,At Risk - First_Customer
12515,1,43:00.0,43:00.0,353,63,At Risk - First_Customer
12516,2,37:00.0,13:00.0,180,63,At Risk - Repeat Customer
12517,6,13:00.0,04:00.0,190,63,At Risk - Repeat Customer
12518,5,18:00.0,13:00.0,110,63,At Risk - Repeat Customer
12519,1,26:00.0,26:00.0,63,63,At Risk - First_Customer
12520,6,35:00.0,23:00.0,273,63,At Risk - Repeat Customer
12521,1,51:00.0,51:00.0,142,63,At Risk - First_Customer
12522,2,41:00.0,30:00.0,51,63,Approaching At-Risk - Repeat Customer
12523,13,43:00.0,46:00.0,331,63,At Risk - Repeat Customer
12524,8,35:00.0,31:00.0,333,63,At Risk - Repeat Customer
12526,3,19:00.0,09:00.0,94,63,At Risk - Repeat Customer
12527,3,05:00.0,55:00.0,325,63,At Risk - Repeat Customer
12528,8,05:00.0,40:00.0,312,63,At Risk - Repeat Customer
12530,5,04:00.0,34:00.0,336,63,At Risk - Repeat Customer
12531,1,12:00.0,12:00.0,14,63,Grace Period
12532,1,47:00.0,47:00.0,30,63,Grace Period
12534,1,26:00.0,26:00.0,130,63,At Risk - First_Customer
12535,2,47:00.0,48:00.0,186,63,At Risk - Repeat Customer
12536,5,52:00.0,43:00.0,59,63,Approaching At-Risk - Repeat Customer
12538,1,16:00.0,16:00.0,29,63,Grace Period
12539,5,11:00.0,30:00.0,333,63,At Risk - Repeat Customer
12540,19,39:00.0,31:00.0,361,63,At Risk - Repeat Customer
12541,3,32:00.0,40:00.0,280,63,At Risk - Repeat Customer
12544,2,15:00.0,12:00.0,36,63,Healthy
12545,2,04:00.0,39:00.0,259,63,At Risk - Repeat Customer
12546,3,44:00.0,09:00.0,77,63,At Risk - Repeat Customer
12547,2,46:00.0,38:00.0,280,63,At Risk - Repeat Customer
12548,1,35:00.0,35:00.0,166,63,At Risk - First_Customer
12550,1,35:00.0,35:00.0,79,63,At Risk - First_Customer
12551,1,23:00.0,23:00.0,357,63,At Risk - First_Customer
12552,2,11:00.0,02:00.0,39,63,Healthy
12553,14,42:00.0,38:00.0,329,63,At Risk - Repeat Customer
12556,2,35:00.0,06:00.0,151,63,At Risk - Repeat Customer
12557,5,20:00.0,59:00.0,371,63,At Risk - Repeat Customer
12558,2,41:00.0,14:00.0,7,63,Healthy
12559,3,12:00.0,49:00.0,319,63,At Risk - Repeat Customer
12560,4,55:00.0,54:00.0,143,63,At Risk - Repeat Customer
12561,1,39:00.0,39:00.0,302,63,At Risk - First_Customer
12562,7,44:00.0,20:00.0,198,63,At Risk - Repeat Customer
12564,1,55:00.0,55:00.0,261,63,At Risk - First_Customer
12565,2,34:00.0,43:00.0,288,63,At Risk - Repeat Customer
12566,2,30:00.0,57:00.0,86,63,At Risk - Repeat Customer
12567,11,57:00.0,02:00.0,369,63,At Risk - Repeat Customer
12569,33,47:00.0,24:00.0,252,63,At Risk - Repeat Customer
12571,2,35:00.0,19:00.0,121,63,At Risk - Repeat Customer
12572,3,20:00.0,20:00.0,51,63,Approaching At-Risk - Repeat Customer
12573,1,52:00.0,52:00.0,227,63,At Risk - First_Customer
12574,1,20:00.0,20:00.0,315,63,At Risk - First_Customer
12576,6,31:00.0,11:00.0,304,63,At Risk - Repeat Customer
12577,4,21:00.0,28:00.0,359,63,At Risk - Repeat Customer
12578,4,46:00.0,30:00.0,338,63,At Risk - Repeat Customer
12579,3,15:00.0,57:00.0,78,63,At Risk - Repeat Customer
12580,1,24:00.0,24:00.0,246,63,At Risk - First_Customer
12581,1,56:00.0,56:00.0,39,63,Grace Period
12582,2,42:00.0,45:00.0,288,63,At Risk - Repeat Customer
12583,18,45:00.0,07:00.0,373,63,At Risk - Repeat Customer
12584,18,15:00.0,35:00.0,280,63,At Risk - Repeat Customer
12585,4,58:00.0,39:00.0,351,63,At Risk - Repeat Customer
12586,2,31:00.0,24:00.0,368,63,At Risk - Repeat Customer
12587,1,47:00.0,47:00.0,7,63,Grace Period
12588,1,01:00.0,01:00.0,39,63,Grace Period
12589,2,05:00.0,19:00.0,144,63,At Risk - Repeat Customer
12590,3,46:00.0,25:00.0,211,63,At Risk - Repeat Customer
12591,1,35:00.0,35:00.0,317,63,At Risk - First_Customer
12592,2,44:00.0,04:00.0,213,63,At Risk - Repeat Customer
12593,3,29:00.0,43:00.0,218,63,At Risk - Repeat Customer
12594,11,52:00.0,20:00.0,322,63,At Risk - Repeat Customer
12596,2,22:00.0,02:00.0,242,63,At Risk - Repeat Customer
12597,5,00:00.0,33:00.0,268,63,At Risk - Repeat Customer
12598,9,58:00.0,18:00.0,284,63,At Risk - Repeat Customer
12599,7,28:00.0,34:00.0,304,63,At Risk - Repeat Customer
12600,11,57:00.0,29:00.0,371,63,At Risk - Repeat Customer
12601,6,38:00.0,17:00.0,332,63,At Risk - Repeat Customer
12602,1,22:00.0,22:00.0,58,63,Grace Period
12603,1,42:00.0,42:00.0,21,63,Grace Period
12604,2,06:00.0,08:00.0,261,63,At Risk - Repeat Customer
12605,1,41:00.0,41:00.0,365,63,At Risk - First_Customer
12607,2,06:00.0,17:00.0,60,63,Approaching At-Risk - Repeat Customer
12609,3,13:00.0,34:00.0,318,63,At Risk - Repeat Customer
12610,7,52:00.0,34:00.0,126,63,At Risk - Repeat Customer
12611,1,12:00.0,12:00.0,52,63,Grace Period
12612,2,35:00.0,12:00.0,74,63,At Risk - Repeat Customer
12613,6,42:00.0,30:00.0,262,63,At Risk - Repeat Customer
12614,1,22:00.0,22:00.0,277,63,At Risk - First_Customer
12615,4,35:00.0,02:00.0,168,63,At Risk - Repeat Customer
12616,5,17:00.0,02:00.0,297,63,At Risk - Repeat Customer
12617,1,39:00.0,39:00.0,29,63,Grace Period
12618,1,10:00.0,10:00.0,21,63,Grace Period
12619,13,10:00.0,52:00.0,253,63,At Risk - Repeat Customer
12620,3,10:00.0,20:00.0,204,63,At Risk - Repeat Customer
12621,23,16:00.0,25:00.0,365,63,At Risk - Repeat Customer
12622,1,39:00.0,39:00.0,232,63,At Risk - First_Customer
12623,1,50:00.0,50:00.0,276,63,At Risk - First_Customer
12624,2,34:00.0,04:00.0,177,63,At Risk - Repeat Customer
12625,3,27:00.0,54:00.0,319,63,At Risk - Repeat Customer
12626,13,01:00.0,06:00.0,326,63,At Risk - Repeat Customer
12627,7,59:00.0,07:00.0,140,63,At Risk - Repeat Customer
12628,4,28:00.0,15:00.0,64,63,At Risk - Repeat Customer
12630,2,41:00.0,48:00.0,43,63,Healthy
12631,1,53:00.0,53:00.0,57,63,Grace Period
12633,5,44:00.0,40:00.0,287,63,At Risk - Repeat Customer
12635,2,43:00.0,04:00.0,154,63,At Risk - Repeat Customer
12637,11,47:00.0,46:00.0,323,63,At Risk - Repeat Customer
12638,1,11:00.0,11:00.0,33,63,Grace Period
12639,1,48:00.0,48:00.0,238,63,At Risk - First_Customer
12640,3,01:00.0,52:00.0,81,63,At Risk - Repeat Customer
12641,1,26:00.0,26:00.0,115,63,At Risk - First_Customer
12642,3,23:00.0,03:00.0,107,63,At Risk - Repeat Customer
12643,6,48:00.0,56:00.0,332,63,At Risk - Repeat Customer
12644,1,33:00.0,33:00.0,129,63,At Risk - First_Customer
12645,5,08:00.0,38:00.0,316,63,At Risk - Repeat Customer
12646,2,52:00.0,14:00.0,49,63,Approaching At-Risk - Repeat Customer
12647,13,02:00.0,56:00.0,369,63,At Risk - Repeat Customer
12648,1,55:00.0,55:00.0,154,63,At Risk - First_Customer
12649,4,42:00.0,41:00.0,365,63,At Risk - Repeat Customer
12650,1,34:00.0,34:00.0,3,63,Grace Period
12651,1,46:00.0,46:00.0,334,63,At Risk - First_Customer
12652,2,00:00.0,01:00.0,331,63,At Risk - Repeat Customer
12653,2,53:00.0,41:00.0,296,63,At Risk - Repeat Customer
12654,5,16:00.0,10:00.0,295,63,At Risk - Repeat Customer
12656,8,45:00.0,42:00.0,242,63,At Risk - Repeat Customer
12657,5,40:00.0,47:00.0,78,63,At Risk - Repeat Customer
12658,1,22:00.0,22:00.0,18,63,Grace Period
12659,1,53:00.0,53:00.0,29,63,Grace Period
12660,1,26:00.0,26:00.0,11,63,Grace Period
12662,12,04:00.0,59:00.0,373,63,At Risk - Repeat Customer
12664,10,42:00.0,07:00.0,322,63,At Risk - Repeat Customer
12665,2,41:00.0,34:00.0,331,63,At Risk - Repeat Customer
12666,1,42:00.0,42:00.0,359,63,At Risk - First_Customer
12667,1,00:00.0,00:00.0,58,63,Grace Period
12668,6,46:00.0,10:00.0,355,63,At Risk - Repeat Customer
12669,4,15:00.0,54:00.0,256,63,At Risk - Repeat Customer
12670,6,16:00.0,23:00.0,232,63,At Risk - Repeat Customer
12672,1,20:00.0,20:00.0,329,63,At Risk - First_Customer
12673,2,46:00.0,55:00.0,326,63,At Risk - Repeat Customer
12674,7,10:00.0,22:00.0,207,63,At Risk - Repeat Customer
12676,6,41:00.0,25:00.0,311,63,At Risk - Repeat Customer
12678,13,00:00.0,04:00.0,353,63,At Risk - Repeat Customer
12679,9,26:00.0,43:00.0,283,63,At Risk - Repeat Customer
12680,4,44:00.0,50:00.0,113,63,At Risk - Repeat Customer
12681,27,08:00.0,35:00.0,367,63,At Risk - Repeat Customer
12682,31,59:00.0,00:00.0,371,63,At Risk - Repeat Customer
12683,20,37:00.0,31:00.0,365,63,At Risk - Repeat Customer
12684,7,55:00.0,53:00.0,213,63,At Risk - Repeat Customer
12685,6,28:00.0,46:00.0,93,63,At Risk - Repeat Customer
12686,1,51:00.0,51:00.0,371,63,At Risk - First_Customer
12688,1,49:00.0,49:00.0,113,63,At Risk - First_Customer
12689,2,04:00.0,31:00.0,127,63,At Risk - Repeat Customer
12690,1,09:00.0,09:00.0,205,63,At Risk - First_Customer
12691,6,46:00.0,49:00.0,357,63,At Risk - Repeat Customer
12693,6,58:00.0,16:00.0,319,63,At Risk - Repeat Customer
12694,2,48:00.0,06:00.0,183,63,At Risk - Repeat Customer
12695,4,15:00.0,22:00.0,210,63,At Risk - Repeat Customer
12697,5,44:00.0,17:00.0,169,63,At Risk - Repeat Customer
12700,6,10:00.0,49:00.0,215,63,At Risk - Repeat Customer
12701,2,02:00.0,47:00.0,242,63,At Risk - Repeat Customer
12702,1,36:00.0,36:00.0,19,63,Grace Period
12703,2,52:00.0,23:00.0,71,63,At Risk - Repeat Customer
12704,10,20:00.0,15:00.0,169,63,At Risk - Repeat Customer
12705,14,58:00.0,17:00.0,357,63,At Risk - Repeat Customer
12707,1,38:00.0,38:00.0,291,63,At Risk - First_Customer
12708,16,43:00.0,52:00.0,368,63,At Risk - Repeat Customer
12709,26,49:00.0,42:00.0,366,63,At Risk - Repeat Customer
12710,4,05:00.0,00:00.0,201,63,At Risk - Repeat Customer
12712,17,30:00.0,15:00.0,371,63,At Risk - Repeat Customer
12713,1,16:00.0,16:00.0,0,63,Grace Period
12714,5,53:00.0,43:00.0,294,63,At Risk - Repeat Customer
12715,1,22:00.0,22:00.0,106,63,At Risk - First_Customer
12716,2,28:00.0,55:00.0,133,63,At Risk - Repeat Customer
12717,3,32:00.0,51:00.0,245,63,At Risk - Repeat Customer
12718,1,38:00.0,38:00.0,71,63,At Risk - First_Customer
12719,3,50:00.0,45:00.0,65,63,At Risk - Repeat Customer
12720,29,21:00.0,03:00.0,369,63,At Risk - Repeat Customer
12721,7,14:00.0,13:00.0,365,63,At Risk - Repeat Customer
12722,6,55:00.0,50:00.0,150,63,At Risk - Repeat Customer
12723,5,52:00.0,19:00.0,65,63,At Risk - Repeat Customer
12724,4,00:00.0,02:00.0,332,63,At Risk - Repeat Customer
12725,1,45:00.0,45:00.0,371,63,At Risk - First_Customer
12726,7,56:00.0,35:00.0,357,63,At Risk - Repeat Customer
12727,9,17:00.0,46:00.0,320,63,At Risk - Repeat Customer
12728,4,31:00.0,31:00.0,332,63,At Risk - Repeat Customer
12729,1,40:00.0,40:00.0,113,63,At Risk - First_Customer
12731,14,56:00.0,59:00.0,364,63,At Risk - Repeat Customer
12732,1,33:00.0,33:00.0,179,63,At Risk - First_Customer
12733,1,19:00.0,19:00.0,234,63,At Risk - First_Customer
12734,1,47:00.0,47:00.0,352,63,At Risk - First_Customer
12735,2,26:00.0,37:00.0,337,63,At Risk - Repeat Customer
12736,1,57:00.0,57:00.0,332,63,At Risk - First_Customer
12738,1,27:00.0,27:00.0,372,63,At Risk - First_Customer
12739,2,45:00.0,00:00.0,99,63,At Risk - Repeat Customer
12740,1,44:00.0,44:00.0,63,63,At Risk - First_Customer
12743,2,06:00.0,21:00.0,134,63,At Risk - Repeat Customer
12744,10,26:00.0,18:00.0,318,63,At Risk - Repeat Customer
12747,11,38:00.0,34:00.0,369,63,At Risk - Repeat Customer
12748,225,48:00.0,20:00.0,373,63,At Risk - Repeat Customer
12749,8,25:00.0,56:00.0,213,63,At Risk - Repeat Customer
12750,1,13:00.0,13:00.0,128,63,At Risk - First_Customer
12752,1,32:00.0,32:00.0,81,63,At Risk - First_Customer
12753,11,44:00.0,40:00.0,362,63,At Risk - Repeat Customer
12754,6,31:00.0,00:00.0,308,63,At Risk - Repeat Customer
12755,4,44:00.0,12:00.0,365,63,At Risk - Repeat Customer
12756,1,31:00.0,31:00.0,86,63,At Risk - First_Customer
12757,19,01:00.0,30:00.0,211,63,At Risk - Repeat Customer
12758,2,05:00.0,22:00.0,276,63,At Risk - Repeat Customer
12759,3,09:00.0,49:00.0,275,63,At Risk - Repeat Customer
12762,2,23:00.0,23:00.0,25,63,Healthy
12763,2,46:00.0,12:00.0,369,63,At Risk - Repeat Customer
12764,1,19:00.0,19:00.0,316,63,At Risk - First_Customer
12766,7,53:00.0,46:00.0,366,63,At Risk - Repeat Customer
12769,1,25:00.0,25:00.0,238,63,At Risk - First_Customer
12770,1,33:00.0,33:00.0,210,63,At Risk - First_Customer
12772,1,19:00.0,19:00.0,59,63,Grace Period
12775,6,45:00.0,33:00.0,311,63,At Risk - Repeat Customer
12778,7,35:00.0,39:00.0,312,63,At Risk - Repeat Customer
12779,12,40:00.0,10:00.0,371,63,At Risk - Repeat Customer
12781,5,43:00.0,45:00.0,284,63,At Risk - Repeat Customer
12782,6,30:00.0,16:00.0,357,63,At Risk - Repeat Customer
12783,8,35:00.0,56:00.0,75,63,At Risk - Repeat Customer
12784,2,53:00.0,38:00.0,15,63,Healthy
12785,2,48:00.0,46:00.0,364,63,At Risk - Repeat Customer
12787,3,36:00.0,44:00.0,192,63,At Risk - Repeat Customer
12789,1,34:00.0,34:00.0,65,63,At Risk - First_Customer
12790,1,14:00.0,14:00.0,192,63,At Risk - First_Customer
12791,1,27:00.0,27:00.0,373,63,At Risk - First_Customer
12792,1,36:00.0,36:00.0,256,63,At Risk - First_Customer
12793,2,14:00.0,12:00.0,371,63,At Risk - Repeat Customer
12794,2,01:00.0,54:00.0,98,63,At Risk - Repeat Customer
12795,1,27:00.0,27:00.0,18,63,Grace Period
12797,3,55:00.0,24:00.0,365,63,At Risk - Repeat Customer
12798,3,11:00.0,52:00.0,170,63,At Risk - Repeat Customer
12802,2,36:00.0,44:00.0,186,63,At Risk - Repeat Customer
12808,3,27:00.0,05:00.0,368,63,At Risk - Repeat Customer
12809,2,51:00.0,15:00.0,177,63,At Risk - Repeat Customer
12811,3,39:00.0,42:00.0,284,63,At Risk - Repeat Customer
12812,1,54:00.0,54:00.0,44,63,Grace Period
12814,1,11:00.0,11:00.0,101,63,At Risk - First_Customer
12815,2,34:00.0,21:00.0,198,63,At Risk - Repeat Customer
12816,2,24:00.0,41:00.0,176,63,At Risk - Repeat Customer
12817,1,28:00.0,28:00.0,281,63,At Risk - First_Customer
12818,2,06:00.0,54:00.0,261,63,At Risk - Repeat Customer
12820,4,34:00.0,12:00.0,326,63,At Risk - Repeat Customer
12821,1,51:00.0,51:00.0,214,63,At Risk - First_Customer
12822,3,46:00.0,04:00.0,87,63,At Risk - Repeat Customer
12823,5,15:00.0,35:00.0,296,63,At Risk - Repeat Customer
12824,1,49:00.0,49:00.0,59,63,Grace Period
12826,8,21:00.0,25:00.0,365,63,At Risk - Repeat Customer
12827,3,44:00.0,17:00.0,44,63,Healthy
12828,6,16:00.0,45:00.0,130,63,At Risk - Repeat Customer
12829,3,54:00.0,56:00.0,360,63,At Risk - Repeat Customer
12830,7,53:00.0,54:00.0,171,63,At Risk - Repeat Customer
12831,1,02:00.0,02:00.0,262,63,At Risk - First_Customer
12832,2,48:00.0,30:00.0,98,63,At Risk - Repeat Customer
12833,1,46:00.0,46:00.0,145,63,At Risk - First_Customer
12834,1,49:00.0,49:00.0,282,63,At Risk - First_Customer
12836,5,19:00.0,10:00.0,311,63,At Risk - Repeat Customer
12837,1,07:00.0,07:00.0,173,63,At Risk - First_Customer
12838,2,57:00.0,20:00.0,373,63,At Risk - Repeat Customer
12839,16,48:00.0,33:00.0,367,63,At Risk - Repeat Customer
12840,6,21:00.0,29:00.0,226,63,At Risk - Repeat Customer
12841,25,43:00.0,13:00.0,371,63,At Risk - Repeat Customer
12842,2,36:00.0,33:00.0,308,63,At Risk - Repeat Customer
12843,9,38:00.0,09:00.0,264,63,At Risk - Repeat Customer
12844,2,11:00.0,31:00.0,130,63,At Risk - Repeat Customer
12845,4,10:00.0,34:00.0,290,63,At Risk - Repeat Customer
12847,1,16:00.0,16:00.0,22,63,Grace Period
12849,2,26:00.0,41:00.0,268,63,At Risk - Repeat Customer
12851,1,41:00.0,41:00.0,96,63,At Risk - First_Customer
12852,2,47:00.0,56:00.0,294,63,At Risk - Repeat Customer
12853,9,28:00.0,00:00.0,315,63,At Risk - Repeat Customer
12854,5,11:00.0,15:00.0,318,63,At Risk - Repeat Customer
12855,1,37:00.0,37:00.0,372,63,At Risk - First_Customer
12856,8,38:00.0,52:00.0,63,63,Approaching At-Risk - Repeat Customer
12857,2,32:00.0,20:00.0,302,63,At Risk - Repeat Customer
12863,2,17:00.0,15:00.0,199,63,At Risk - Repeat Customer
12864,1,03:00.0,03:00.0,138,63,At Risk - First_Customer
12865,3,39:00.0,31:00.0,359,63,At Risk - Repeat Customer
12866,1,11:00.0,11:00.0,283,63,At Risk - First_Customer
12867,10,16:00.0,30:00.0,360,63,At Risk - Repeat Customer
12868,6,50:00.0,42:00.0,373,63,At Risk - Repeat Customer
12870,1,27:00.0,27:00.0,366,63,At Risk - First_Customer
12871,2,32:00.0,07:00.0,207,63,At Risk - Repeat Customer
12872,2,44:00.0,52:00.0,365,63,At Risk - Repeat Customer
12873,1,58:00.0,58:00.0,282,63,At Risk - First_Customer
12875,2,03:00.0,30:00.0,362,63,At Risk - Repeat Customer
12876,2,34:00.0,26:00.0,196,63,At Risk - Repeat Customer
12877,12,23:00.0,30:00.0,358,63,At Risk - Repeat Customer
