Description,Total_Revenue_Non_Repeat,Total_Revenue_Repeat
ABSTRACT CIRCLES POCKET BOOK,17.85,986.34
ABSTRACT CIRCLES SKETCHBOOK,15,375.75
ACRYLIC HANGING JEWEL;BLUE,2.28,58.14
ACRYLIC HANGING JEWEL;PINK,43.75,20.52
ACRYLIC JEWEL ICICLE; PINK,13.3,62.32
ACRYLIC JEWEL SNOWFLAKE; PINK,13.3,36.48
ADULT APRON APPLE DELIGHT,54.45,1430.79
ADVENT CALENDAR GINGHAM SACK,487.66,4671.92
AFGHAN SLIPPER SOCK PAIR,10.35,87.3
AGED GLASS SILVER T-LIGHT HOLDER,236.75,1843.26
AIRLINE BAG VINTAGE JET SET BROWN,21.65,543.34
AIRLINE BAG VINTAGE JET SET RED,58.19,843.49
AIRLINE BAG VINTAGE TOKYO 78,81,1700.33
AIRLINE BAG VINTAGE WORLD CHAMPION,29.68,445.76
AIRLINE LOUNGE;METAL SIGN,39.9,485.39
ALARM CLOCK BAKELIKE CHOCOLATE,90.01,3108.99
ALARM CLOCK BAKELIKE GREEN,606.05,10565.65
ALARM CLOCK BAKELIKE IVORY,278.26,4409.73
ALARM CLOCK BAKELIKE PINK,315.5,8387.95
ALARM CLOCK BAKELIKE RED,324.51,12499.19
ALPHABET STENCIL CRAFT,69.89,1109.86
ALUMINIUM STAMPED HEART,33.35,854.62
ANGEL DECORATION 3 BUTTONS,182.36,1592.35
ANGEL DECORATION PAINTED ZINC,67.44,528.14
ANGEL DECORATION STARS ON DRESS,54.94,1051.68
ANIMAL STICKERS,8.5,191.65
ANIMALS AND NATURE WALL ART,22.5,190.33
ANT COPPER LIME BOUDICCA BRACELET,49.5,53.64
ANT COPPER PINK BOUDICCA BRACELET,14.85,41.7
ANT COPPER TURQ BOUDICCA BRACELET,39.6,70.92
ANT SILVER FUSCHIA BOUDICCA RING,2.95,3.75
ANT SILVER LIME GREEN BOUDICCA RING,27.91,38.15
ANT SILVER PURPLE BOUDICCA RING,2.95,2.75
ANT WHITE WIRE HEART SPIRAL,9.35,125.12
ANTIQUE ALL GLASS CANDLESTICK,248.91,1059.1
ANTIQUE CREAM CUTLERY CUPBOARD,12.75,85.63
ANTIQUE CREAM CUTLERY SHELF,8.5,26.9
ANTIQUE GLASS DRESSING TABLE POT,216.58,1524.06
ANTIQUE GLASS PEDESTAL BOWL,141.78,1167.23
ANTIQUE GLASS PLACE SETTING,12.6,12.5
ANTIQUE HEART SHELF UNIT,155.25,5070.94
ANTIQUE IVORY WIRE BOWL SMALL,0.78,84.02
ANTIQUE SILVER BAUBLE LAMP,355.97,2231.58
ANTIQUE SILVER TEA GLASS ENGRAVED,349.59,3359.33
ANTIQUE SILVER T-LIGHT GLASS,846.88,7630.23
ANTIQUE TALL SWIRLGLASS TRINKET POT,48.7,791.47
APOTHECARY MEASURING JAR,91.9,124.03
APPLE BATH SPONGE,88.08,703.99
AREA PATROLLED METAL SIGN,76.18,3056.14
ART LIGHTS;FUNK MONKEY,2.95,690.7
ASS COLOUR GLOWING TIARAS,19.55,201.79
ASS DES PHONE SPONGE CRAFT STICKER,4.15,39.29
ASS FLORAL PRINT MULTI SCREWDRIVER,119.18,572.4
ASS FLORAL PRINT SPIRIT LEVEL,26.42,182.44
ASSORTED BOTTLE TOP MAGNETS,66.52,400.09
ASSORTED CAKES FRIDGE MAGNETS,20.8,22.4
ASSORTED CIRCULAR MOBILE,5.19,179.16
ASSORTED COLOUR BIRD ORNAMENT,1334.39,16467.18
ASSORTED COLOUR LIZARD SUCTION HOOK,0.42,476.06
ASSORTED COLOUR METAL CAT,3.75,78.36
ASSORTED COLOUR MINI CASES,243.2,4384.93
ASSORTED COLOUR T-LIGHT HOLDER,62.4,659.1
ASSORTED COLOURED CIRCLE MOBILE,1.26,39.7
ASSORTED COLOURS SILK FAN,143.72,907.64
"ASSORTED FLOWER COLOUR ""LEIS""",7.45,421.61
ASSORTED INCENSE PACK,26.92,409.32
ASSORTED SHAPES PHOTO CLIP SILVER,7.73,152.21
ASSORTED TUTTI FRUTTI BRACELET,28.74,217.86
ASSORTED TUTTI FRUTTI FOB NOTEBOOK,19.55,1040.66
ASSORTED TUTTI FRUTTI HEART BOX,6.25,140.54
ASSORTED TUTTI FRUTTI LARGE PURSE,2.1,97.8
ASSORTED TUTTI FRUTTI NOTEBOOK,4.2,266.54
ASSORTED TUTTI FRUTTI PEN,141.42,733.36
ASSORTED TUTTI FRUTTI SMALL PURSE,1.25,156.26
ASSTD DESIGN 3D PAPER STICKERS,33.4,116.68
ASSTD DESIGN RACING CAR PEN,20.78,316.63
BABUSHKA LIGHTS STRING OF 10,45.23,884.81
BABY MOUSE RED GINGHAM DRESS,30.06,256.3
BAG 125g SWIRLY MARBLES,261.26,2023.47
BAG 250g SWIRLY MARBLES,54.45,2630.44
BAG 500g SWIRLY MARBLES,52.83,1767.11
BAKING MOULD CHOCOLATE CUPCAKES,2.55,545.63
BAKING MOULD HEART MILK CHOCOLATE,55.5,485.9
BAKING MOULD HEART WHITE CHOCOLATE,17.55,181.74
BAKING MOULD ROSE MILK CHOCOLATE,38.25,271.5
BAKING MOULD ROSE WHITE CHOCOLATE,6.5,292.18
BAKING MOULD TOFFEE CUP CHOCOLATE,12.75,180.91
BAKING SET 9 PIECE RETROSPOT,829.81,12989.58
BAKING SET SPACEBOY DESIGN,1222.3,4866.03
BALLOON ART MAKE YOUR OWN FLOWERS,34.95,652.54
BALLOON PUMP WITH 10 BALLOONS,38.21,1182.72
BALLOON WATER BOMB PACK OF 35,54.57,312.66
BALLOONS WRITING SET,226.14,1856.61
BANQUET BIRTHDAY CARD,15.12,182.94
BASKET OF FLOWERS SEWING KIT,15.3,1291.76
BASKET OF TOADSTOOLS,25.84,324.32
BATH BUILDING BLOCK WORD,489.4,854.54
BATHROOM HOOK,38,165.65
BATHROOM METAL SIGN,85.28,1571.94
BATHROOM SCALES RUBBER DUCKS,10.5,44.05
BEADED CHANDELIER T-LIGHT HOLDER,17.4,642.14
BEADED CRYSTAL HEART BLUE LARGE,402.67,59.42
BEADED CRYSTAL HEART GREEN LARGE,0.79,61.75
BEADED CRYSTAL HEART PINK LARGE,262.67,30.83
BELLE JARDINIERE CUSHION COVER,205.96,2532.9
BEWARE OF THE CAT METAL SIGN,119.53,2002.39
BICYCLE PUNCTURE REPAIR KIT,144.22,5479.37
BICYCLE SAFTEY WALL ART,47.6,979.11
BINGO SET,335.29,3851.02
BIRD DECORATION GREEN POLKADOT,10.2,1.7
BIRD DECORATION RED RETROSPOT,10.2,105.85
BIRD HOUSE HOT WATER BOTTLE,227.14,1825.15
BIRDCAGE DECORATION TEALIGHT HOLDER,32.7,321.6
BIRDHOUSE DECORATION MAGIC GARDEN,15,24.65
BIRDHOUSE GARDEN MARKER,87.65,187.6
BIRDS MOBILE VINTAGE DESIGN,83.3,219.55
BIRTHDAY CARD; RETRO SPOT,70.56,489.24
BIRTHDAY PARTY CORDON BARRIER TAPE,21.45,146.42
BISCUIT TIN 50'S CHRISTMAS,290.42,5869.71
BISCUIT TIN VINTAGE CHRISTMAS,182.78,2836.77
BISCUIT TIN VINTAGE GREEN,42.6,239.39
BISCUIT TIN VINTAGE RED,53.05,1208.25
BLACK AND WHITE CAT BOWL,4.2,36.3
BLACK CHRISTMAS TREE 120CM,219.84,246.2
BLACK CHRISTMAS TREE 60CM,40.8,193.28
BLACK EAR MUFF HEADPHONES,5.49,391
BLACK ENCHANTED FOREST PLACEMAT,30,121.33
BLACK HEART CARD HOLDER,55.65,3374.17
BLACK KITCHEN SCALES,95.2,835.81
BLACK LOVE BIRD CANDLE,19.5,15.04
BLACK ORANGE SQUEEZER,30.27,134.63
BLACK PIRATE TREASURE CHEST,77.6,381.34
BLACK RECORD COVER FRAME,399.35,13958.62
BLACK SILOUETTE CANDLE PLATE,10.2,98.08
BLACK SIL'T SQU CANDLE PLATE,25.2,13.35
BLACK TEA TOWEL CLASSIC DESIGN,17.5,598.2
BLACK TEA;COFFEE;SUGAR JARS,23.4,297.3
BLACK/BLUE POLKADOT UMBRELLA,228.99,2100.69
BLING KEY RING STAND,4,5.25
BLOND DOLL DOORSTOP,65,86.47
BLOSSOM IMAGES GIFT WRAP SET,30.15,392.98
BLOSSOM IMAGES NOTEBOOK SET,50.25,300.3
BLUE CALCULATOR RULER,85.87,464.76
BLUE CHARLIE+LOLA PERSONAL DOORSIGN,27.42,343.13
BLUE CIRCLES DESIGN TEDDY,2.55,138.92
BLUE COAT RACK PARIS FASHION,65.1,462
BLUE DAISY MOBILE,0.79,39.18
BLUE DINER WALL CLOCK,142.47,1535.54
BLUE DISCO HANDBAG,7.8,51.68
BLUE DRAGONFLY HELICOPTER,7.95,130.25
BLUE DRAWER KNOB ACRYLIC EDWARDIAN,40.5,355.5
BLUE EGG SPOON,15.96,179.06
BLUE FLY SWAT,8.65,216.97
BLUE GIANT GARDEN THERMOMETER,21.8,191.35
BLUE HAPPY BIRTHDAY BUNTING,135.7,1253.52
BLUE HARMONICA IN BOX,540.43,5687.65
BLUE HOLE PUNCH,1.25,45.1
BLUE JUICY FRUIT PHOTO FRAME,5.1,81.73
BLUE MURANO TWIST BRACELET,42.5,0.55
BLUE OWL SOFT TOY,40.45,201.85
BLUE PAISLEY JOURNAL,8.29,200.64
BLUE PAISLEY POCKET BOOK,73.35,140.81
BLUE PAISLEY SKETCHBOOK,12.5,137.85
BLUE PAISLEY TISSUE BOX,72.12,422.78
BLUE POLKADOT BEAKER,1.17,70
BLUE POLKADOT BOWL,8.75,801.54
BLUE POLKADOT CUP,2.55,584.73
BLUE POLKADOT LUGGAGE TAG,32.5,135.13
BLUE POLKADOT PASSPORT COVER,15,116.87
BLUE POLKADOT PLATE,25.2,6.76
BLUE POLKADOT WASHING UP GLOVES,16.7,988.27
BLUE POLKADOT WRAP,203.38,605.5
BLUE POT PLANT CANDLE,41.3,615.22
BLUE PUDDING SPOON,61.77,322.31
BLUE REFECTORY CLOCK,119.75,1511.39
BLUE RETRO KITCHEN WALL CLOCK,49.62,351.3
BLUE ROSE FABRIC MIRROR,214.85,343.29
BLUE SCANDINAVIAN PAISLEY WRAP,21,138.75
BLUE SCOTTIE DOG W FLOWER PATTERN,43.8,293.3
BLUE SPOT CERAMIC DRAWER KNOB,131.42,1246.71
BLUE STRIPE CERAMIC DRAWER KNOB,108.1,1443.63
BLUE VICTORIAN FABRIC OVAL BOX,6.64,240.71
BLUE VINTAGE SPOT BEAKER,42.75,598.05
BLUE/CREAM STRIPE CUSHION COVER,5,229.54
BLUE/YELLOW FLOWER DESIGN BIG MUG,1.56,41.4
BOHEMIAN COLLAGE STATIONERY SET,98.6,793.68
BOOM BOX SPEAKER BOYS,108.87,351.03
BOOM BOX SPEAKER GIRLS,33.59,205.97
BOTANICAL GARDENS WALL CLOCK,236.25,7184.23
BOTANICAL LAVENDER BIRTHDAY CARD,19.92,102.09
BOTANICAL LAVENDER GIFT WRAP,14.64,42.9
BOTANICAL LILY GREETING CARD,9.99,42.84
BOTANICAL ROSE GIFT WRAP,11.35,61.5
BOTTLE BAG RETROSPOT,6.3,1108.87
BOUDOIR SQUARE TISSUE BOX,21.58,873.72
BOX OF 24 COCKTAIL PARASOLS,159.62,1986.65
BOX OF 6 ASSORTED COLOUR TEASPOONS,39.36,400.97
BOX OF 6 CHRISTMAS CAKE DECORATIONS,422.45,7773.74
BOX OF 6 MINI 50'S CRACKERS,728.49,7538
BOX OF 6 MINI VINTAGE CRACKERS,658.83,7252.73
BOX OF VINTAGE ALPHABET BLOCKS,464.75,2869.06
BOX OF VINTAGE JIGSAW BLOCKS,174.25,2360.43
BOYS VINTAGE TIN SEASIDE BUCKET,85.35,417.6
BREAD BIN DINER STYLE IVORY,169.18,3391.63
BREAD BIN DINER STYLE PINK,7.5,73.88
BREAD BIN DINER STYLE RED,121.47,1951.93
BROCADE RING PURSE,294.17,1911.98
BROCANTE SHELF WITH HOOKS,32.25,239
BROWN CHECK CAT DOORSTOP,4.25,126.12
BROWN PIRATE TREASURE CHEST,48.15,244.47
BUBBLEGUM RING ASSORTED,326.75,2454.26
BUFFALO BILL TREASURE BOOK BOX,105.28,1970.85
BULL DOG BOTTLE OPENER,229.2,1074.26
BULL DOG BOTTLE TOP WALL CLOCK,120,257.36
BUNDLE OF 3 ALPHABET EXERCISE BOOKS,192.33,2242.56
BUNDLE OF 3 RETRO NOTE BOOKS,118.38,1767.09
BUNDLE OF 3 SCHOOL EXERCISE BOOKS,95.1,1090.92
BUNNY WOODEN PAINTED WITH BIRD,5.85,179.68
BUNNY WOODEN PAINTED WITH FLOWER,5.85,137.1
BUTTON BOX,300.72,578.87
BUTTONS AND STRIPES NOTEBOOK,3.75,17.4
CABIN BAG VINTAGE PAISLEY,1.25,117.36
CABIN BAG VINTAGE RETROSPOT,29.95,788.9
CACTI T-LIGHT CANDLES,235.07,319.75
CAKE PLATE LOVEBIRD PINK,29.7,72.06
CAKE PLATE LOVEBIRD WHITE,59.63,422.93
CAKE STAND 3 TIER MAGIC GARDEN,52,1198.72
CAKE STAND LOVEBIRD 2 TIER PINK,82.65,572.73
CAKE STAND LOVEBIRD 2 TIER WHITE,131.5,745.84
CAKE STAND VICTORIAN FILIGREE MED,6.75,2.5
CAKE STAND VICTORIAN FILIGREE SMALL,86.2,513.52
CAKE STAND WHITE TWO TIER LACE,103.76,852.68
CAKES AND BOWS GIFT TAPE,0.65,82.25
CALENDAR FAMILY FAVOURITES,55.6,369.28
CALENDAR IN SEASON DESIGN,109.96,990.31
CALENDAR PAPER CUT DESIGN,79.29,1375.2
CAMOUFLAGE LED TORCH,336.77,1173.54
CAMPHOR WOOD PORTOBELLO MUSHROOM,7.5,138.14
CANDLE HOLDER SILVER MADELINE,69.3,146.29
CANDY HEART HANGING DECORATION,11.5,278.55
CANDY SPOT BUNNY,23.35,26.55
CANDY SPOT EGG WARMER RABBIT,1.33,238.27
CANDY SPOT HAND BAG,4.2,147.26
CARAVAN SQUARE TISSUE BOX,62.42,775.73
CARD BILLBOARD FONT,142.17,1801.93
CARD BIRTHDAY COWBOY,27.72,1374.66
CARD CAT AND TREE,20.16,78.78
CARD CHRISTMAS VILLAGE,275.05,1927.46
CARD CIRCUS PARADE,82.65,447.29
CARD DOG AND BALL,20.16,1375.82
CARD DOLLY GIRL,147.1,973.47
CARD GINGHAM ROSE,46.56,179.25
CARD HOLDER GINGHAM HEART,107.42,1219.98
CARD HOLDER LOVE BIRD LARGE,99.4,1649.48
CARD HOLDER LOVE BIRD SMALL,174.24,1345.17
CARD I LOVE LONDON,20.16,108.24
CARD MOTORBIKE SANTA,382.58,2086.13
CARD PARTY GAMES,25.62,310.93
CARD PSYCHEDELIC APPLES,25.2,305.47
CARD SUKI BIRTHDAY,34.31,323.46
CARD WEDDING DAY,2.52,23.76
CARDHOLDER GINGHAM CHRISTMAS TREE,92.85,1120.56
CARDHOLDER GINGHAM STAR,92.83,629.15
CARDHOLDER HOLLY WREATH METAL,151.63,1610.33
CAROUSEL DESIGN WASHBAG,3.9,406.68
CARRIAGE,131.8,1594.52
CARROT CHARLIE+LOLA COASTER SET,61.21,797.16
CARTOON PENCIL SHARPENERS,17.88,205.78
CAT BOWL VINTAGE CREAM,9.45,639.98
CAT WITH SUNGLASSES BLANK CARD,0.95,14.85
CD WALL TIDY BLUE OFFICE,17.28,15
CD WALL TIDY RED FLOWERS,17.28,15
CERAMIC BOWL WITH STRAWBERRY DESIGN,82.98,346.39
CERAMIC CAKE BOWL + HANGING CAKES,38.94,320.26
CERAMIC CAKE DESIGN SPOTTED MUG,54.59,845.87
CERAMIC CAKE STAND + HANGING CAKES,158.31,591.97
CERAMIC CHERRY CAKE MONEY BANK,223.46,914.55
CERAMIC HEART FAIRY CAKE MONEY BANK,150.9,1080.99
CERAMIC LOVE HEART MONEY BANK,19.89,79.36
CERAMIC PIRATE CHEST MONEY BANK,29,933.91
CERAMIC PLATE STRAWBERRY DESIGN,233.38,411.94
CERAMIC STRAWBERRY CAKE MONEY BANK,156.72,1809.7
CERAMIC STRAWBERRY DESIGN MUG,109.29,744.62
CERAMIC STRAWBERRY TRINKET TRAY,15.3,5.04
CHAMBRE HOOK,92.2,107.97
CHARLIE & LOLA WASTEPAPER BIN BLUE,38.3,395.64
CHARLIE & LOLA WASTEPAPER BIN FLORA,25.45,516.74
CHARLIE + LOLA RED HOT WATER BOTTLE,385.96,5675.42
CHARLIE LOLA BLUE HOT WATER BOTTLE,16.45,348.06
CHARLIE+LOLA MY ROOM DOOR SIGN,3.19,430.2
CHARLIE+LOLA PINK HOT WATER BOTTLE,77.93,989.56
CHARLIE+LOLA RED HOT WATER BOTTLE,20.53,817.55
"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",23.01,400.04
CHARLOTTE BAG APPLES DESIGN,87.32,4240.71
CHARLOTTE BAG DOLLY GIRL DESIGN,87.75,2023.46
CHARLOTTE BAG PINK POLKADOT,284.13,2342.91
CHARLOTTE BAG SUKI DESIGN,151.47,2436.67
CHARLOTTE BAG VINTAGE ALPHABET,74.67,4208.4
CHERRY BLOSSOM DECORATIVE FLASK,25.47,775.38
CHERRY BLOSSOM PASSPORT COVER,19.8,110.13
CHERUB HEART DECORATION GOLD,37.03,863.19
CHERUB HEART DECORATION SILVER,47.06,1110.17
CHEST 7 DRAWER MA CAMPAGNE,24.96,102.2
CHEST NATURAL WOOD 20 DRAWERS,440,17.7
CHEST OF DRAWERS GINGHAM HEART,11.85,451.54
CHICK GREY HOT WATER BOTTLE,500.49,3892.64
CHILDRENS APRON APPLES DESIGN,162.8,1659.8
CHILDREN'S APRON DOLLY GIRL,197.72,2120.32
CHILDRENS APRON SPACEBOY DESIGN,298.78,3798.13
CHILDRENS CUTLERY CIRCUS PARADE,88.07,1084.27
CHILDRENS CUTLERY DOLLY GIRL,177,2601.74
CHILDRENS CUTLERY POLKADOT BLUE,268.09,3753.3
CHILDRENS CUTLERY POLKADOT GREEN,228.75,2314.17
CHILDRENS CUTLERY POLKADOT PINK,315.3,4984.7
CHILDRENS CUTLERY RETROSPOT RED,136.31,3246.84
CHILDRENS CUTLERY SPACEBOY,195.72,3771.72
CHILDRENS DOLLY GIRL MUG,90.59,598.62
CHILDREN'S SPACEBOY MUG,8.88,668.27
CHILDRENS TOY COOKING UTENSIL SET,163.97,1575.2
CHILDS BREAKFAST SET CIRCUS PARADE,69.7,1796.14
CHILDS BREAKFAST SET DOLLY GIRL,93.31,2270.61
CHILDS BREAKFAST SET SPACEBOY,92.4,1693.37
CHILDS GARDEN FORK BLUE,79.25,74
CHILDS GARDEN FORK PINK,117.06,64.25
CHILDS GARDEN RAKE PINK,4.2,80.81
CHILLI LIGHTS,559.54,16541.29
CHOC TRUFFLE GOLD TRINKET POT,51.94,215.1
CHOCOLATE 1 WICK MORRIS BOX CANDLE,46.82,586.58
CHOCOLATE 3 WICK MORRIS BOX CANDLE,3.75,68.36
CHOCOLATE BOX RIBBONS,62.4,776.91
CHOCOLATE CALCULATOR,101.58,2097.03
CHOCOLATE HOT WATER BOTTLE,1034.72,14956.67
CHOCOLATE THIS WAY METAL SIGN,102.24,3460.11
CHRISTMAS CARD SCREEN PRINT,58.71,383.19
CHRISTMAS CARD SINGING ANGEL,18.29,264.28
CHRISTMAS CARD STACK OF PRESENTS,70.8,28.73
CHRISTMAS CRAFT LITTLE FRIENDS,380.97,14789.82
CHRISTMAS CRAFT TREE TOP ANGEL,353.74,5440.13
CHRISTMAS CRAFT WHITE FAIRY,549.25,4518.82
CHRISTMAS DECOUPAGE CANDLE,22.17,335.22
CHRISTMAS GARLAND STARS;TREES,63.75,220
CHRISTMAS GINGHAM STAR,249.91,1436.53
CHRISTMAS GINGHAM TREE,464.61,1304.44
CHRISTMAS HANGING SNOWFLAKE,172.43,594.98
CHRISTMAS HANGING STAR WITH BELL,259.86,3287.99
CHRISTMAS HANGING TREE WITH BELL,57.87,489.52
CHRISTMAS LIGHTS 10 REINDEER,590.01,7081.99
CHRISTMAS LIGHTS 10 SANTAS,492.4,2596.56
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,34.65,3712.54
CHRISTMAS METAL POSTCARD WITH BELLS,171.31,1064.05
CHRISTMAS METAL TAGS ASSORTED,158.64,1861.5
CHRISTMAS MUSICAL ZINC STAR,82.9,1026.25
CHRISTMAS MUSICAL ZINC TREE,37.15,481.02
CHRISTMAS PUDDING TRINKET POT,154.59,3548.55
CHRISTMAS RETROSPOT ANGEL WOOD,125.18,2091.84
CHRISTMAS RETROSPOT STAR WOOD,333.77,1796.9
CHRISTMAS RETROSPOT TREE WOOD,254.51,1896.85
CHRISTMAS STAR WISH LIST CHALKBOARD,466.52,4002.97
CHRISTMAS TABLE SILVER CANDLE SPIKE,101.33,909.47
CHRISTMAS TOILET ROLL,134.94,3447.14
CHRISTMAS TREE HANGING GOLD,60.82,873.62
CHRISTMAS TREE HANGING SILVER,48.76,583.51
CHRISTMAS TREE HEART DECORATION,15.54,170.62
CHRISTMAS TREE PAINTED ZINC,122.52,664.77
CHRISTMAS TREE STAR DECORATION,16.38,503.4
CHRYSANTHEMUM JOURNAL,23.8,156.36
CHRYSANTHEMUM NOTEBOOK,3.32,131.21
CHRYSANTHEMUM POCKET BOOK,10.2,84.97
CHRYSANTHEMUM SKETCHBOOK,16.45,177.55
CINAMMON & ORANGE WREATH,13.5,495.13
CINAMMON SET OF 9 T-LIGHTS,54.65,707.32
CINNAMON SCENTED VOTIVE CANDLE,326.28,198.59
CIRCUS PARADE BABY GIFT SET,16.95,934.42
CIRCUS PARADE CHILDRENS EGG CUP,43.3,1113.09
CIRCUS PARADE LUNCH BOX,502.2,1995.15
CITRONELLA CANDLE FLOWERPOT,10.5,184.29
CITRONELLA CANDLE GARDEN POT,27.5,162.56
CLAM SHELL SMALL,12.6,145.26
CLASSIC BICYCLE CLIPS,272.84,3181.28
CLASSIC CAFE SUGAR DISPENSER,75.67,1831.03
CLASSIC CHROME BICYCLE BELL,426.11,5895.39
CLASSIC FRENCH STYLE BASKET BROWN,29.7,456.95
CLASSIC GLASS COOKIE JAR,209.02,3201.28
CLASSIC METAL BIRDCAGE PLANT HOLDER,174.84,2448
CLEAR CRYSTAL STAR PHONE CHARM,6.08,26.97
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,283.67,1428.58
CLEAR LOVE BIRD T-LIGHT HOLDER,22.5,179.1
CLOCK MAGNET MUM'S KITCHEN,20.23,219.96
CLOTHES PEGS RETROSPOT PACK 24,87.36,3297.15
COCKLE SHELL DISH,7.52,199.63
COCKTAIL SWORDS 50 PIECES,48.42,315.67
COFFEE MUG APPLES DESIGN,136.5,1433.7
COFFEE MUG BLUE PAISLEY DESIGN,17.8,718.35
COFFEE MUG CAT + BIRD DESIGN,42.1,1994.81
COFFEE MUG DOG + BALL DESIGN,48.9,1029.92
COFFEE MUG PEARS DESIGN,131.7,1245.12
COFFEE SCENT PILLAR CANDLE,46.21,104.34
COLOUR GLASS T-LIGHT HOLDER HANGING,49.71,1517.04
COLOUR GLASS. STAR T-LIGHT HOLDER,314.71,4376.35
COLOURED GLASS STAR T-LIGHT HOLDER,101.81,4149.48
