CustomerID,RFM,Segment,Num_Purchase_Dates,Days_From_End,Personal_Churn+Window,Churn_Score
15092,122,Lost,2,215,68,3.071428571
17204,133,At-Risk High Value,3,175,57.2,3.059440559
12888,122,Lost,2,214,41,3.057142857
15381,123,At-Risk High Value,2,213,55,3.042857143
15433,121,Lost,2,213,54,3.042857143
16431,122,Lost,2,213,84,3.042857143
15732,121,Lost,2,212,160,3.028571429
17889,121,Lost,2,212,110,3.028571429
18168,143,At-Risk High Value,6,176,58.2,3.024054983
17454,132,Lost,4,192,63.6,3.018867925
18218,122,Lost,2,211,70,3.014285714
16244,123,At-Risk High Value,2,211,161,3.014285714
12625,124,At-Risk High Value,2,211,108,3.014285714
13837,122,Lost,2,211,106,3.014285714
12857,123,At-Risk High Value,2,210,92,3
15658,143,At-Risk High Value,5,190,63.4,2.996845426
16801,133,At-Risk High Value,4,163,54.8,2.974452555
15813,123,At-Risk High Value,2,207,32,2.957142857
13951,132,Lost,3,176,59.6,2.953020134
14320,122,Lost,2,206,126,2.942857143
14620,122,Lost,2,205,78,2.928571429
13659,123,At-Risk High Value,2,205,115,2.928571429
13531,122,Lost,2,205,161,2.928571429
15759,132,Lost,3,218,74.8,2.914438503
15648,123,At-Risk High Value,2,204,63,2.914285714
14896,122,Lost,2,204,161,2.914285714
14442,124,At-Risk High Value,2,204,112,2.914285714
12897,122,Lost,2,204,97,2.914285714
14021,133,At-Risk High Value,3,155,53.8,2.881040892
14195,123,At-Risk High Value,2,201,51,2.871428571
15724,121,Lost,2,201,83,2.871428571
13492,233,At-Risk High Value,3,136,47.4,2.869198312
14758,134,At-Risk High Value,4,144,50.2,2.868525896
12891,132,Lost,3,185,64.6,2.86377709
13479,122,Lost,2,200,34,2.857142857
13223,121,Lost,2,200,32,2.857142857
14817,123,At-Risk High Value,2,200,77,2.857142857
18202,123,At-Risk High Value,2,199,112,2.842857143
17500,433,Promising,3,17,6,2.833333333
14985,121,Lost,2,198,160,2.828571429
15882,122,Lost,2,198,170,2.828571429
14009,122,Lost,2,198,7,2.828571429
12547,121,Lost,2,197,83,2.814285714
16838,123,At-Risk High Value,2,197,91,2.814285714
16449,123,At-Risk High Value,2,197,83,2.814285714
17550,121,Lost,2,197,46,2.814285714
15104,123,At-Risk High Value,2,196,86,2.8
14625,123,At-Risk High Value,2,196,165,2.8
16567,123,At-Risk High Value,2,194,142,2.771428571
17152,123,At-Risk High Value,2,194,69,2.771428571
17646,133,At-Risk High Value,3,219,79.6,2.751256281
17523,433,Promising,3,11,4,2.75
18190,121,Lost,2,192,138,2.742857143
13447,333,Potential Loyalist,3,23,8.4,2.738095238
14377,123,At-Risk High Value,2,191,71,2.728571429
15643,122,Lost,2,191,91,2.728571429
15918,122,Lost,2,190,81,2.714285714
16029,344,Loyalist,39,38,14,2.714285714
15410,244,At-Risk High Value,8,84,31,2.709677419
12722,233,At-Risk High Value,4,85,31.4,2.707006369
16010,132,Lost,3,245,90.6,2.70419426
16230,122,Lost,2,189,31,2.7
13294,123,At-Risk High Value,2,189,60,2.7
13885,122,Lost,2,189,11,2.7
14682,121,Lost,2,187,14,2.671428571
14512,122,Lost,2,187,45,2.671428571
12468,123,At-Risk High Value,2,187,129,2.671428571
16883,122,Lost,2,187,184,2.671428571
17708,121,Lost,2,187,137,2.671428571
15852,121,Lost,2,186,11,2.657142857
14958,132,Lost,3,147,55.6,2.643884892
17026,121,Lost,2,185,184,2.642857143
17707,121,Lost,2,185,151,2.642857143
17854,122,Lost,2,185,42,2.642857143
17409,123,At-Risk High Value,2,184,64,2.628571429
14501,121,Lost,2,183,136,2.614285714
13533,121,Lost,2,182,85,2.6
14823,122,Lost,2,180,14,2.571428571
17795,122,Lost,2,179,85,2.557142857
17749,123,At-Risk High Value,2,178,78,2.542857143
15912,122,Lost,2,178,55,2.542857143
13476,123,At-Risk High Value,2,178,103,2.542857143
14828,134,At-Risk High Value,3,196,77.2,2.538860104
16729,344,Loyalist,19,38,15,2.533333333
16644,122,Lost,2,177,35,2.528571429
14161,133,At-Risk High Value,3,215,85.4,2.517564403
17337,133,At-Risk High Value,4,151,60,2.516666667
17446,121,Lost,2,176,134,2.514285714
14037,121,Lost,2,176,188,2.514285714
12908,123,At-Risk High Value,2,176,136,2.514285714
14491,122,Lost,2,175,197,2.5
17990,133,At-Risk High Value,3,236,95.2,2.478991597
14162,122,Lost,2,173,119,2.471428571
13005,122,Lost,2,173,73,2.471428571
16805,122,Lost,2,173,187,2.471428571
16484,122,Lost,2,173,17,2.471428571
16214,133,At-Risk High Value,3,170,69,2.463768116
16696,233,At-Risk High Value,4,135,54.8,2.46350365
16320,123,At-Risk High Value,2,172,41,2.457142857
17429,232,Lost,3,128,52.2,2.45210728
14998,122,Lost,2,170,71,2.428571429
14643,123,At-Risk High Value,2,170,188,2.428571429
14450,132,Lost,3,180,74.2,2.425876011
14656,121,Lost,2,169,114,2.414285714
13929,123,At-Risk High Value,2,169,157,2.414285714
15384,122,Lost,2,169,190,2.414285714
16647,121,Lost,2,169,35,2.414285714
17630,122,Lost,2,169,63,2.414285714
17704,123,At-Risk High Value,2,168,71,2.4
15665,123,At-Risk High Value,2,168,75,2.4
15258,122,Lost,2,168,49,2.4
17472,132,Lost,3,191,79.8,2.393483709
17969,122,Lost,2,166,195,2.371428571
15976,122,Lost,2,165,55,2.357142857
13453,122,Lost,2,165,124,2.357142857
12493,122,Lost,2,165,32,2.357142857
13656,122,Lost,2,164,173,2.342857143
14481,123,At-Risk High Value,2,164,123,2.342857143
15146,123,At-Risk High Value,2,164,127,2.342857143
12947,143,At-Risk High Value,6,143,61.2,2.336601307
14267,124,At-Risk High Value,2,162,98,2.314285714
16889,133,At-Risk High Value,3,194,84.2,2.304038005
17203,334,Potential Loyalist,3,35,15.2,2.302631579
17505,123,At-Risk High Value,2,161,44,2.3
15483,121,Lost,2,161,105,2.3
14338,122,Lost,2,161,35,2.3
17061,244,At-Risk High Value,9,73,31.8,2.295597484
15079,133,At-Risk High Value,3,212,92.4,2.294372294
15644,132,Lost,3,166,73,2.273972603
17105,122,Lost,2,159,147,2.271428571
17781,121,Lost,2,159,94,2.271428571
14352,133,At-Risk High Value,3,157,69.4,2.262247839
15349,122,Lost,2,158,29,2.257142857
14403,234,At-Risk High Value,4,130,57.6,2.256944444
13631,244,At-Risk High Value,7,99,44,2.25
13085,122,Lost,2,157,138,2.242857143
14905,123,At-Risk High Value,2,157,76,2.242857143
18142,123,At-Risk High Value,2,157,58,2.242857143
14472,244,At-Risk High Value,8,103,46.2,2.229437229
14645,123,At-Risk High Value,2,156,119,2.228571429
13253,123,At-Risk High Value,2,156,183,2.228571429
12450,121,Lost,2,156,17,2.228571429
15889,122,Lost,2,156,213,2.228571429
17341,122,Lost,2,156,210,2.228571429
17440,121,Lost,2,156,91,2.228571429
18037,141,At-Risk High Value,6,154,69.4,2.219020173
15512,121,Lost,2,155,204,2.214285714
15182,122,Lost,2,154,114,2.2
16398,123,At-Risk High Value,2,154,99,2.2
16091,122,Lost,2,154,44,2.2
14264,122,Lost,2,154,91,2.2
13955,122,Lost,2,154,151,2.2
14104,121,Lost,2,154,11,2.2
12916,234,At-Risk High Value,4,138,63,2.19047619
15706,233,At-Risk High Value,4,63,29,2.172413793
15577,121,Lost,2,151,154,2.157142857
15265,123,At-Risk High Value,2,151,84,2.157142857
15045,123,At-Risk High Value,2,151,106,2.157142857
12717,123,At-Risk High Value,2,151,94,2.157142857
13754,122,Lost,2,151,166,2.157142857
13675,122,Lost,2,151,133,2.157142857
14548,123,At-Risk High Value,2,150,167,2.142857143
13082,244,At-Risk High Value,7,126,59,2.13559322
13420,121,Lost,2,149,21,2.128571429
18121,122,Lost,2,149,5,2.128571429
17259,122,Lost,2,148,220,2.114285714
12653,124,At-Risk High Value,2,148,148,2.114285714
12915,122,Lost,2,148,224,2.114285714
14891,122,Lost,2,148,39,2.114285714
15402,123,At-Risk High Value,2,148,48,2.114285714
12815,123,At-Risk High Value,2,147,51,2.1
17615,232,Lost,3,130,62.2,2.090032154
14016,134,At-Risk High Value,4,161,77.6,2.074742268
12399,233,At-Risk High Value,4,119,57.6,2.065972222
16342,232,Lost,4,75,36.4,2.06043956
16859,122,Lost,2,144,117,2.057142857
13821,122,Lost,2,144,117,2.057142857
16807,133,At-Risk High Value,3,142,69.4,2.04610951
14461,134,At-Risk High Value,3,148,72.4,2.044198895
12875,122,Lost,2,143,219,2.042857143
15713,122,Lost,2,143,223,2.042857143
12510,123,At-Risk High Value,2,142,183,2.028571429
15535,132,Lost,3,173,85.4,2.025761124
14529,232,Lost,3,60,29.8,2.013422819
18146,221,Lost,2,140,80,2
17375,132,Lost,3,199,100.2,1.986027944
17265,222,Lost,2,138,42,1.971428571
17935,221,Lost,2,138,3,1.971428571
12763,222,Lost,2,138,231,1.971428571
15462,231,Lost,3,94,48,1.958333333
14344,243,At-Risk High Value,8,127,65.2,1.947852761
17457,244,At-Risk High Value,5,126,64.8,1.944444444
15625,233,At-Risk High Value,4,103,53.2,1.936090226
16034,132,Lost,3,196,101.6,1.929133858
13730,223,At-Risk High Value,2,135,26,1.928571429
15245,234,At-Risk High Value,3,134,69.8,1.919770774
14002,222,Lost,2,134,22,1.914285714
17931,222,Lost,2,134,121,1.914285714
18151,222,Lost,2,134,155,1.914285714
13037,233,At-Risk High Value,3,138,72.2,1.911357341
14592,332,Potential Loyalist,3,35,18.4,1.902173913
17926,222,Lost,2,133,70,1.9
18064,222,Lost,2,133,102,1.9
17894,243,At-Risk High Value,8,71,37.4,1.898395722
13720,233,At-Risk High Value,4,116,61.2,1.895424837
16422,444,Champions,48,17,9,1.888888889
14410,243,At-Risk High Value,7,92,49,1.87755102
12669,134,At-Risk High Value,3,150,80,1.875
13722,224,At-Risk High Value,2,131,151,1.871428571
17695,223,At-Risk High Value,2,131,40,1.871428571
14305,233,At-Risk High Value,3,71,38,1.868421053
15624,232,Lost,4,116,62.6,1.853035144
14133,222,Lost,2,129,186,1.842857143
17353,222,Lost,2,129,25,1.842857143
14867,133,At-Risk High Value,3,185,101,1.831683168
16324,222,Lost,2,128,49,1.828571429
16835,221,Lost,2,128,245,1.828571429
16027,243,At-Risk High Value,6,91,50,1.82
14778,223,At-Risk High Value,2,127,181,1.814285714
13791,223,At-Risk High Value,2,127,41,1.814285714
13402,222,Lost,2,127,245,1.814285714
16266,243,At-Risk High Value,6,73,40.4,1.806930693
12643,244,At-Risk High Value,5,128,71.2,1.797752809
17719,344,Loyalist,15,37,20.6,1.796116505
13248,222,Lost,2,124,65,1.771428571
14053,222,Lost,2,124,35,1.771428571
14331,222,Lost,2,124,11,1.771428571
16955,132,Lost,4,184,104,1.769230769
15009,433,Promising,3,12,6.8,1.764705882
15780,132,Lost,3,183,103.8,1.76300578
13003,231,Lost,3,105,59.6,1.761744966
14837,233,At-Risk High Value,4,89,50.6,1.758893281
16788,222,Lost,2,123,131,1.757142857
15985,223,At-Risk High Value,2,123,113,1.757142857
16045,233,At-Risk High Value,4,119,67.8,1.755162242
12693,233,At-Risk High Value,4,127,72.4,1.754143646
18248,223,At-Risk High Value,2,122,64,1.742857143
14024,221,Lost,2,121,3,1.728571429
15491,244,At-Risk High Value,5,95,55,1.727272727
14803,133,At-Risk High Value,3,162,93.8,1.727078891
15505,244,At-Risk High Value,5,52,30.2,1.721854305
15827,244,At-Risk High Value,11,73,42.4,1.721698113
13486,233,At-Risk High Value,3,78,45.4,1.718061674
16806,233,At-Risk High Value,4,103,60,1.716666667
14346,223,At-Risk High Value,2,120,177,1.714285714
13888,222,Lost,2,119,99,1.7
15689,222,Lost,2,119,242,1.7
14855,222,Lost,2,119,15,1.7
17642,223,At-Risk High Value,2,119,57,1.7
15095,233,At-Risk High Value,3,103,60.8,1.694078947
18062,132,Lost,3,173,103,1.67961165
15812,244,At-Risk High Value,5,107,63.8,1.677115987
16419,243,At-Risk High Value,5,112,66.8,1.676646707
16520,133,At-Risk High Value,3,186,111.4,1.669658887
13799,222,Lost,2,116,178,1.657142857
12758,224,At-Risk High Value,2,116,160,1.657142857
18143,223,At-Risk High Value,2,116,25,1.657142857
17252,221,Lost,2,116,70,1.657142857
16172,233,At-Risk High Value,4,95,57.6,1.649305556
14918,223,At-Risk High Value,2,115,39,1.642857143
16998,132,Lost,3,149,91,1.637362637
14407,244,At-Risk High Value,6,107,65.4,1.636085627
14323,222,Lost,2,114,124,1.628571429
13655,223,At-Risk High Value,2,114,127,1.628571429
15734,223,At-Risk High Value,2,114,86,1.628571429
14462,244,At-Risk High Value,9,66,40.6,1.625615764
14692,232,Lost,4,137,84.4,1.623222749
17616,133,At-Risk High Value,3,173,106.6,1.622889306
15707,333,Potential Loyalist,4,35,21.6,1.62037037
15716,133,At-Risk High Value,4,145,89.6,1.618303571
15232,221,Lost,2,113,27,1.614285714
17742,222,Lost,2,113,219,1.614285714
16416,333,Potential Loyalist,3,26,16.2,1.604938272
12843,244,At-Risk High Value,8,65,40.6,1.600985222
12710,233,At-Risk High Value,3,96,60,1.6
13242,221,Lost,2,112,101,1.6
14234,332,Potential Loyalist,4,22,13.8,1.594202899
15260,244,At-Risk High Value,6,100,63,1.587301587
16175,233,At-Risk High Value,4,94,59.4,1.582491582
15938,242,At-Risk High Value,5,112,71,1.577464789
17029,223,At-Risk High Value,2,110,126,1.571428571
17179,133,At-Risk High Value,3,178,114,1.561403509
17994,232,Lost,4,121,77.6,1.559278351
14265,222,Lost,2,109,39,1.557142857
13933,222,Lost,2,109,39,1.557142857
12363,222,Lost,2,109,133,1.557142857
14930,224,At-Risk High Value,2,108,166,1.542857143
18018,221,Lost,2,108,91,1.542857143
17242,223,At-Risk High Value,2,108,72,1.542857143
15768,233,At-Risk High Value,3,115,74.8,1.537433155
16774,233,At-Risk High Value,4,67,43.8,1.529680365
15800,223,At-Risk High Value,2,107,139,1.528571429
14875,224,At-Risk High Value,2,107,155,1.528571429
12649,223,At-Risk High Value,2,107,105,1.528571429
17256,222,Lost,2,107,205,1.528571429
13301,233,At-Risk High Value,4,103,67.6,1.523668639
14463,233,At-Risk High Value,3,98,64.6,1.517027864
16473,132,Lost,3,164,108.2,1.515711645
16309,223,At-Risk High Value,2,106,134,1.514285714
17134,222,Lost,2,106,158,1.514285714
12624,223,At-Risk High Value,2,106,71,1.514285714
17189,222,Lost,2,106,253,1.514285714
14163,234,At-Risk High Value,4,87,57.8,1.505190311
16184,243,At-Risk High Value,6,64,42.6,1.502347418
17961,343,Loyalist,35,21,14,1.5
17317,334,Potential Loyalist,3,46,30.8,1.493506494
16049,333,Potential Loyalist,3,40,26.8,1.492537313
12685,344,Loyalist,6,28,19,1.473684211
17724,233,At-Risk High Value,3,71,48.2,1.473029046
17731,233,At-Risk High Value,3,79,53.8,1.468401487
17085,243,At-Risk High Value,5,123,83.8,1.46778043
16209,244,At-Risk High Value,5,88,60,1.466666667
17268,233,At-Risk High Value,4,107,73,1.465753425
16092,232,Lost,3,114,77.8,1.46529563
17848,243,At-Risk High Value,9,81,55.4,1.462093863
16370,233,At-Risk High Value,4,82,56.2,1.459074733
14434,344,Loyalist,6,21,14.4,1.458333333
13027,244,At-Risk High Value,6,113,78,1.448717949
17298,222,Lost,2,101,23,1.442857143
14745,233,At-Risk High Value,4,112,77.8,1.439588689
17588,233,At-Risk High Value,3,100,69.6,1.436781609
12593,232,Lost,3,108,75.4,1.432360743
16083,223,At-Risk High Value,2,100,260,1.428571429
16780,222,Lost,2,100,159,1.428571429
13162,234,At-Risk High Value,4,122,85.4,1.428571429
14210,244,At-Risk High Value,6,105,73.6,1.426630435
12502,244,At-Risk High Value,5,95,66.6,1.426426426
16654,233,At-Risk High Value,4,141,99,1.424242424
14854,244,At-Risk High Value,7,78,55,1.418181818
15829,222,Lost,2,99,41,1.414285714
16808,222,Lost,2,99,175,1.414285714
13470,221,Lost,2,99,16,1.414285714
18178,233,At-Risk High Value,4,128,90.6,1.412803532
17370,232,Lost,4,72,51,1.411764706
18008,244,At-Risk High Value,8,70,49.8,1.40562249
18087,224,At-Risk High Value,2,98,192,1.4
17400,244,At-Risk High Value,5,126,90,1.4
17050,244,At-Risk High Value,6,96,68.6,1.39941691
13695,344,Loyalist,14,31,22.2,1.396396396
17692,233,At-Risk High Value,4,127,91,1.395604396
12879,333,Potential Loyalist,3,44,31.6,1.392405063
16589,232,Lost,3,71,51,1.392156863
17045,232,Lost,3,113,81.4,1.388206388
14211,244,At-Risk High Value,9,53,38.4,1.380208333
17787,134,At-Risk High Value,4,152,110.4,1.376811594
17229,221,Lost,2,96,46,1.371428571
13548,223,At-Risk High Value,2,96,147,1.371428571
14973,234,At-Risk High Value,3,107,78.2,1.368286445
15201,233,At-Risk High Value,4,87,64,1.359375
16098,244,At-Risk High Value,7,87,64,1.359375
18232,232,Lost,4,81,59.6,1.359060403
18196,222,Lost,2,95,195,1.357142857
15364,223,At-Risk High Value,2,95,159,1.357142857
13744,222,Lost,2,95,197,1.357142857
13931,223,At-Risk High Value,2,95,185,1.357142857
12816,223,At-Risk High Value,2,95,81,1.357142857
12616,222,Lost,2,95,202,1.357142857
13192,223,At-Risk High Value,2,95,110,1.357142857
17460,243,At-Risk High Value,6,94,69.4,1.354466859
15241,244,At-Risk High Value,8,66,48.8,1.352459016
12853,234,At-Risk High Value,3,134,99.2,1.350806452
13911,244,At-Risk High Value,9,57,42.4,1.344339623
12461,222,Lost,2,94,60,1.342857143
13122,222,Lost,2,94,146,1.342857143
17339,221,Lost,2,94,271,1.342857143
17398,233,At-Risk High Value,3,114,85.8,1.328671329
15071,223,At-Risk High Value,2,93,182,1.328571429
16828,221,Lost,2,93,19,1.328571429
14500,232,Lost,3,88,66.4,1.325301205
13802,234,At-Risk High Value,3,138,104.2,1.3243762
15646,132,Lost,3,157,118.6,1.323777403
15129,344,Loyalist,10,50,37.8,1.322751323
15198,221,Lost,2,92,32,1.314285714
15653,222,Lost,2,92,23,1.314285714
16031,222,Lost,2,92,155,1.314285714
13814,223,At-Risk High Value,2,92,45,1.314285714
12592,222,Lost,2,92,121,1.314285714
12412,233,At-Risk High Value,3,74,56.8,1.302816901
12535,222,Lost,2,91,95,1.3
14628,223,At-Risk High Value,2,91,151,1.3
16723,223,At-Risk High Value,2,91,16,1.3
14915,222,Lost,2,91,186,1.3
15400,243,At-Risk High Value,5,92,71.2,1.292134831
13593,244,At-Risk High Value,5,108,83.6,1.291866029
14385,431,Potential Loyalist,3,9,7,1.285714286
13842,244,At-Risk High Value,9,58,45.2,1.283185841
16112,131,Lost,4,143,111.6,1.281362007
16384,222,Lost,2,89,174,1.271428571
15636,223,At-Risk High Value,2,89,193,1.271428571
12635,223,At-Risk High Value,2,89,65,1.271428571
17585,233,At-Risk High Value,4,109,85.8,1.27039627
15306,233,At-Risk High Value,3,64,50.4,1.26984127
12520,244,At-Risk High Value,5,79,62.4,1.266025641
14541,244,At-Risk High Value,7,58,46,1.260869565
15980,224,At-Risk High Value,2,88,166,1.257142857
16984,224,At-Risk High Value,2,88,42,1.257142857
13552,244,At-Risk High Value,8,66,52.6,1.254752852
17980,133,At-Risk High Value,3,165,131.8,1.251896813
14177,233,At-Risk High Value,3,86,69,1.246376812
