CustomerID,Days_From_Last,Num_orders,Ln_Num_Orders,Total_Revenue,R,F,M,RFM,Segment
12410,309,1,0.693147181,472.23,1,1,2,112,Lost
12412,75,3,1.386294361,912.21,2,3,3,233,At-Risk High Value
12413,67,3,1.386294361,637.05,2,3,3,233,At-Risk High Value
12414,218,3,1.386294361,522.81,1,3,3,133,At-Risk High Value
12415,25,16,2.833213344,85129.35,3,4,4,344,Loyalist
12417,4,9,2.302585093,2982.4,4,4,4,444,Champions
12418,113,1,0.693147181,435.19,2,1,2,212,Lost
12420,64,1,0.693147181,424.04,2,1,2,212,Lost
12421,16,4,1.609437912,721.48,4,3,3,433,Promising
12422,96,3,1.386294361,494.76,2,3,3,233,At-Risk High Value
12423,1,8,2.197224577,1313.1,4,4,4,444,Champions
12424,163,1,0.693147181,1483.7,1,1,4,114,Lost
12425,79,1,0.693147181,457.95,2,1,2,212,Lost
12426,195,1,0.693147181,350.23,1,1,2,112,Lost
12427,22,3,1.386294361,720.5,3,3,3,333,Potential Loyalist
12428,26,7,2.079441542,5210.57,3,4,4,344,Loyalist
12429,10,4,1.609437912,2800.18,4,3,4,434,Promising
12430,44,1,0.693147181,246.44,3,1,2,312,Need Attention
12431,36,14,2.708050201,5076.52,3,4,4,344,Loyalist
12432,43,3,1.386294361,3493.36,3,3,4,334,Potential Loyalist
12433,1,6,1.945910149,8809.6,4,4,4,444,Champions
12434,85,2,1.098612289,501.93,2,2,3,223,At-Risk High Value
12435,80,2,1.098612289,4660.49,2,2,4,224,At-Risk High Value
12436,100,1,0.693147181,332.88,2,1,2,212,Lost
12437,2,15,2.772588722,4107.16,4,4,4,444,Champions
12438,15,2,1.098612289,2150.7,4,2,4,424,Promising
12441,367,1,0.693147181,84.45,1,1,1,111,Lost
12442,4,1,0.693147181,135.64,4,1,1,411,New Customers
12444,22,5,1.791759469,3451.34,3,4,4,344,Loyalist
12445,23,1,0.693147181,103.4,3,1,1,311,Need Attention
12446,58,1,0.693147181,538.04,2,1,3,213,At-Risk High Value
12447,244,1,0.693147181,251.37,1,1,2,112,Lost
12448,45,1,0.693147181,407.57,3,1,2,312,Need Attention
12449,23,4,1.609437912,2267.53,3,3,4,334,Potential Loyalist
12450,157,2,1.098612289,172.92,1,2,1,121,Lost
12451,11,5,1.791759469,5766.07,4,4,4,444,Champions
12452,17,1,0.693147181,341.67,4,1,2,412,New Customers
12453,135,1,0.693147181,340.04,2,1,2,212,Lost
12454,57,1,0.693147181,2774.02,2,1,4,214,At-Risk High Value
12455,74,6,1.945910149,1615.37,2,4,4,244,At-Risk High Value
12456,45,3,1.386294361,2219.22,3,3,4,334,Potential Loyalist
12457,67,7,2.079441542,1870.24,2,4,4,244,At-Risk High Value
12458,72,2,1.098612289,788.73,2,2,3,223,At-Risk High Value
12461,95,2,1.098612289,438,2,2,2,222,Lost
12462,19,2,1.098612289,680.03,3,2,3,323,Potential Loyalist
12463,54,4,1.609437912,976.84,2,3,3,233,At-Risk High Value
12464,11,7,2.079441542,947.8,4,4,3,443,Loyalist
12465,18,2,1.098612289,471.99,4,2,2,422,Promising
12468,188,2,1.098612289,606.64,1,2,3,123,At-Risk High Value
12471,3,20,3.044522438,17142.47,4,4,4,444,Champions
12472,33,7,2.079441542,3777.19,3,4,4,344,Loyalist
12473,30,4,1.609437912,2816.42,3,3,4,334,Potential Loyalist
12474,18,17,2.890371758,4605.39,4,4,4,444,Champions
12475,54,1,0.693147181,537.68,2,1,3,213,At-Risk High Value
12476,16,10,2.397895273,5075.69,4,4,4,444,Champions
12477,23,6,1.945910149,10023.86,3,4,4,344,Loyalist
12478,4,1,0.693147181,415.62,4,1,2,412,New Customers
12479,12,1,0.693147181,310.6,4,1,2,412,New Customers
12480,29,4,1.609437912,2205.3,3,3,4,334,Potential Loyalist
12481,23,8,2.197224577,3991.48,3,4,4,344,Loyalist
12483,18,8,2.197224577,2247,4,4,4,444,Champions
12484,33,6,1.945910149,2913.31,3,4,4,344,Loyalist
12488,10,3,1.386294361,883.86,4,3,3,433,Promising
12489,337,1,0.693147181,334.93,1,1,2,112,Lost
12490,6,10,2.397895273,3644.19,4,4,4,444,Champions
12491,39,1,0.693147181,315.35,3,1,2,312,Need Attention
12492,64,2,1.098612289,211.93,2,2,1,221,Lost
12493,166,2,1.098612289,260.14,1,2,2,122,Lost
12494,16,7,2.079441542,856.41,4,4,3,443,Loyalist
12497,82,1,0.693147181,561.6,2,1,3,213,At-Risk High Value
12498,22,2,1.098612289,265.05,3,2,2,322,Need Attention
12500,24,10,2.397895273,2774.46,3,4,4,344,Loyalist
12501,337,1,0.693147181,690.27,1,1,3,113,Lost
12502,96,5,1.791759469,2870.02,2,4,4,244,At-Risk High Value
12504,19,2,1.098612289,340.1,3,2,2,322,Need Attention
12506,233,1,0.693147181,42.2,1,1,1,111,Lost
12507,135,3,1.386294361,1029.89,2,3,3,233,At-Risk High Value
12508,27,2,1.098612289,265.36,3,2,2,322,Need Attention
12509,285,1,0.693147181,110,1,1,1,111,Lost
12510,143,2,1.098612289,661.67,1,2,3,123,At-Risk High Value
12512,67,1,0.693147181,91.42,2,1,1,211,Lost
12513,113,1,0.693147181,381.89,2,1,2,212,Lost
12514,268,1,0.693147181,521.78,1,1,3,113,Lost
12515,354,1,0.693147181,303.75,1,1,2,112,Lost
12516,78,2,1.098612289,961.36,2,2,3,223,At-Risk High Value
12517,29,4,1.609437912,1456.28,3,3,4,334,Potential Loyalist
12518,1,5,1.791759469,1315.63,4,4,4,444,Champions
12519,64,1,0.693147181,270.14,2,1,2,212,Lost
12520,80,5,1.791759469,1740.02,2,4,4,244,At-Risk High Value
12521,143,1,0.693147181,324.22,1,1,2,112,Lost
12522,40,2,1.098612289,177.87,3,2,1,321,Need Attention
12523,20,11,2.48490665,1444.44,3,4,4,344,Loyalist
12524,10,8,2.197224577,3165.16,4,4,4,444,Champions
12526,1,3,1.386294361,879.15,4,3,3,433,Promising
12527,82,3,1.386294361,241.91,2,3,2,232,Lost
12528,10,6,1.945910149,1571.14,4,4,4,444,Champions
12530,60,4,1.609437912,1135.64,2,3,3,233,At-Risk High Value
12531,15,1,0.693147181,115.16,4,1,1,411,New Customers
12532,31,1,0.693147181,299.43,3,1,2,312,Need Attention
12534,131,1,0.693147181,596.58,2,1,3,213,At-Risk High Value
12535,92,2,1.098612289,402.95,2,2,2,222,Lost
12536,44,2,1.098612289,9566.96,3,2,4,324,Potential Loyalist
12538,30,1,0.693147181,248.57,3,1,2,312,Need Attention
12539,23,4,1.609437912,2709.25,3,3,4,334,Potential Loyalist
12540,20,17,2.890371758,10093.14,3,4,4,344,Loyalist
12541,30,3,1.386294361,717.33,3,3,3,333,Potential Loyalist
12544,37,1,0.693147181,270.04,3,1,2,312,Need Attention
12545,76,2,1.098612289,591.94,2,2,3,223,At-Risk High Value
12546,47,2,1.098612289,584.28,3,2,3,323,Potential Loyalist
12547,198,2,1.098612289,157.4,1,2,1,121,Lost
12548,167,1,0.693147181,60.4,1,1,1,111,Lost
12550,80,1,0.693147181,552.23,2,1,3,213,At-Risk High Value
12551,358,1,0.693147181,48.5,1,1,1,111,Lost
12552,39,2,1.098612289,324.82,3,2,2,322,Need Attention
12553,9,10,2.397895273,2553.98,4,4,4,444,Champions
12556,51,2,1.098612289,432.2,3,2,2,322,Need Attention
12557,17,5,1.791759469,7286.84,4,4,4,444,Champions
12558,8,1,0.693147181,234.04,4,1,2,412,New Customers
12559,311,2,1.098612289,541.01,1,2,3,123,At-Risk High Value
12560,6,3,1.386294361,1273.59,4,3,4,434,Promising
12561,303,1,0.693147181,161.75,1,1,1,111,Lost
12562,9,7,2.079441542,2424.4,4,4,4,444,Champions
12564,262,1,0.693147181,216,1,1,2,112,Lost
12565,289,1,0.693147181,70.92,1,1,1,111,Lost
12566,87,1,0.693147181,259.35,2,1,2,212,Lost
12567,23,9,2.302585093,5574.95,3,4,4,344,Loyalist
12569,3,26,3.295836866,3436.71,4,4,4,444,Champions
12571,40,2,1.098612289,288.95,3,2,2,322,Need Attention
12572,9,2,1.098612289,695.74,4,2,3,423,Promising
12573,228,1,0.693147181,144.22,1,1,1,111,Lost
12574,316,1,0.693147181,162.15,1,1,1,111,Lost
12576,36,5,1.791759469,813.81,3,4,3,343,Loyalist
12577,36,2,1.098612289,381.28,3,2,2,322,Need Attention
12578,22,2,1.098612289,1571.27,3,2,4,324,Potential Loyalist
12579,79,1,0.693147181,269.57,2,1,2,212,Lost
12580,247,1,0.693147181,184.9,1,1,1,111,Lost
12581,40,1,0.693147181,127.51,3,1,1,311,Need Attention
12582,239,2,1.098612289,403.44,1,2,2,122,Lost
12583,3,15,2.772588722,5704.66,4,4,4,444,Champions
12584,4,9,2.302585093,1884.95,4,4,4,444,Champions
12585,235,2,1.098612289,1328.43,1,2,4,124,At-Risk High Value
12586,18,1,0.693147181,164.39,4,1,1,411,New Customers
12587,8,1,0.693147181,102.4,4,1,1,411,New Customers
12588,40,1,0.693147181,195.1,3,1,1,311,Need Attention
12589,29,2,1.098612289,395.71,3,2,2,322,Need Attention
12590,212,1,0.693147181,5966.06,1,1,4,114,Lost
12591,318,1,0.693147181,318.9,1,1,2,112,Lost
12592,93,2,1.098612289,233.3,2,2,2,222,Lost
12593,109,3,1.386294361,221.9,2,3,2,232,Lost
12594,38,9,2.302585093,2450.36,3,4,4,344,Loyalist
12596,52,2,1.098612289,556.05,2,2,3,223,At-Risk High Value
12597,20,4,1.609437912,2512.77,3,3,4,334,Potential Loyalist
12598,10,7,2.079441542,1962.42,4,4,4,444,Champions
12599,30,7,2.079441542,824.58,3,4,3,343,Loyalist
12600,29,10,2.397895273,2256.99,3,4,4,344,Loyalist
12601,190,5,1.791759469,562.06,1,4,3,143,At-Risk High Value
12602,59,1,0.693147181,87.52,2,1,1,211,Lost
12603,22,1,0.693147181,739.2,3,1,3,313,Need Attention
12604,80,2,1.098612289,158.74,2,2,1,221,Lost
12607,61,1,0.693147181,612.5,2,1,3,213,At-Risk High Value
12609,79,3,1.386294361,841.6,2,3,3,233,At-Risk High Value
12610,23,5,1.791759469,1411.34,3,4,4,344,Loyalist
12611,53,1,0.693147181,649.61,2,1,3,213,At-Risk High Value
12612,75,1,0.693147181,356.04,2,1,2,212,Lost
12613,58,3,1.386294361,1820.67,2,3,4,234,At-Risk High Value
12614,278,1,0.693147181,156.25,1,1,1,111,Lost
12615,3,4,1.609437912,1651.14,4,3,4,434,Promising
12616,96,2,1.098612289,475.8,2,2,2,222,Lost
12617,30,1,0.693147181,236.7,3,1,2,312,Need Attention
12618,22,1,0.693147181,151.96,3,1,1,311,Need Attention
12619,17,9,2.302585093,2508.34,4,4,4,444,Champions
12620,15,3,1.386294361,906.66,4,3,3,433,Promising
12621,2,17,2.890371758,10166.89,4,4,4,444,Champions
12622,233,1,0.693147181,169.9,1,1,1,111,Lost
12623,277,1,0.693147181,243.4,1,1,2,112,Lost
12624,107,2,1.098612289,485.08,2,2,3,223,At-Risk High Value
12625,212,2,1.098612289,1977.44,1,2,4,124,At-Risk High Value
12626,24,9,2.302585093,4096.83,3,4,4,344,Loyalist
12627,11,7,2.079441542,2424.05,4,4,4,444,Champions
12628,5,3,1.386294361,530.13,4,3,3,433,Promising
12630,10,2,1.098612289,763.72,4,2,3,423,Promising
12631,58,1,0.693147181,394.62,2,1,2,212,Lost
12633,59,4,1.609437912,1486.32,2,3,4,234,At-Risk High Value
12635,90,2,1.098612289,913.17,2,2,3,223,At-Risk High Value
12637,68,7,2.079441542,3193.63,2,4,4,244,At-Risk High Value
12638,34,1,0.693147181,528.05,3,1,3,313,Need Attention
12639,239,1,0.693147181,342.7,1,1,2,112,Lost
12640,24,3,1.386294361,780.63,3,3,3,333,Potential Loyalist
12641,116,1,0.693147181,153.6,2,1,1,211,Lost
12642,26,3,1.386294361,877.62,3,3,3,333,Potential Loyalist
12643,129,5,1.791759469,3090.24,2,4,4,244,At-Risk High Value
12644,130,1,0.693147181,308.42,2,1,2,212,Lost
12645,34,4,1.609437912,1021.8,3,3,3,333,Potential Loyalist
12646,5,2,1.098612289,767.21,4,2,3,423,Promising
12647,23,11,2.48490665,2750.96,3,4,4,344,Loyalist
12648,155,1,0.693147181,207.66,1,1,1,111,Lost
12649,108,2,1.098612289,555.71,2,2,3,223,At-Risk High Value
12650,4,1,0.693147181,247.42,4,1,2,412,New Customers
12651,335,1,0.693147181,96,1,1,1,111,Lost
12652,332,1,0.693147181,430.37,1,1,2,112,Lost
12653,149,2,1.098612289,1855.63,1,2,4,124,At-Risk High Value
12654,11,4,1.609437912,433.38,4,3,2,432,Potential Loyalist
12656,18,5,1.791759469,2655.32,4,4,4,444,Champions
12657,12,3,1.386294361,1547.67,4,3,4,434,Promising
12658,19,1,0.693147181,450.1,3,1,2,312,Need Attention
12659,30,1,0.693147181,76.68,3,1,1,311,Need Attention
12660,12,1,0.693147181,152.25,4,1,1,411,New Customers
12662,1,10,2.397895273,2637.19,4,4,4,444,Champions
12664,9,9,2.302585093,4058.68,4,4,4,444,Champions
12665,325,1,0.693147181,63,1,1,1,111,Lost
12667,59,1,0.693147181,457.75,2,1,2,212,Lost
12668,12,4,1.609437912,2641.92,4,3,4,434,Promising
12669,151,3,1.386294361,1812.81,1,3,4,134,At-Risk High Value
12670,11,5,1.791759469,2102.95,4,4,4,444,Champions
12672,330,1,0.693147181,210.6,1,1,1,111,Lost
12673,6,2,1.098612289,457.51,4,2,2,422,Promising
12674,39,4,1.609437912,1269.78,3,3,4,334,Potential Loyalist
12676,25,6,1.945910149,1115.6,3,4,3,343,Loyalist
12678,43,9,2.302585093,13185.28,3,4,4,344,Loyalist
12679,59,4,1.609437912,758.63,2,3,3,233,At-Risk High Value
12680,1,4,1.609437912,506.67,4,3,3,433,Promising
12681,15,20,3.044522438,9908.49,4,4,4,444,Champions
12682,4,27,3.33220451,9128.72,4,4,4,444,Champions
12683,5,11,2.48490665,5947.69,4,4,4,444,Champions
12684,8,7,2.079441542,1661.81,4,4,4,444,Champions
12685,29,6,1.945910149,1891.83,3,4,4,344,Loyalist
12686,372,1,0.693147181,68.98,1,1,1,111,Lost
12688,114,1,0.693147181,2715.95,2,1,4,214,At-Risk High Value
12689,26,2,1.098612289,694.77,3,2,3,323,Potential Loyalist
12690,206,1,0.693147181,337.71,1,1,2,112,Lost
12691,29,6,1.945910149,837.6,3,4,3,343,Loyalist
12693,128,4,1.609437912,774.25,2,3,3,233,At-Risk High Value
12694,71,2,1.098612289,753.91,2,2,3,223,At-Risk High Value
12695,8,4,1.609437912,517.75,4,3,3,433,Promising
12697,29,3,1.386294361,760.45,3,3,3,333,Potential Loyalist
12700,8,4,1.609437912,2332.25,4,3,4,434,Promising
12701,80,2,1.098612289,536.02,2,2,3,223,At-Risk High Value
12702,20,1,0.693147181,145.4,3,1,1,311,Need Attention
12703,72,1,0.693147181,213.55,2,1,1,211,Lost
12704,8,7,2.079441542,1905.71,4,4,4,444,Champions
12705,16,8,2.197224577,4206.7,4,4,4,444,Champions
12707,292,1,0.693147181,363.04,1,1,2,112,Lost
12708,30,10,2.397895273,1950.21,3,4,4,344,Loyalist
12709,16,15,2.772588722,8285.64,4,4,4,444,Champions
12710,97,3,1.386294361,553.28,2,3,3,233,At-Risk High Value
12712,29,13,2.63905733,3316.23,3,4,4,344,Loyalist
12713,1,1,0.693147181,534.41,4,1,3,413,New Customers
12714,10,5,1.791759469,2616.94,4,4,4,444,Champions
12715,107,1,0.693147181,203.16,2,1,1,211,Lost
12716,4,2,1.098612289,564.15,4,2,3,423,Promising
12717,152,2,1.098612289,638.44,1,2,3,123,At-Risk High Value
12718,72,1,0.693147181,183.29,2,1,1,211,Lost
12719,6,2,1.098612289,455.4,4,2,2,422,Promising
12720,3,21,3.091042453,4223.45,4,4,4,444,Champions
12721,32,6,1.945910149,1680.81,3,4,4,344,Loyalist
12722,86,4,1.609437912,720.28,2,3,3,233,At-Risk High Value
12723,4,3,1.386294361,534.48,4,3,3,433,Promising
12724,6,4,1.609437912,540.83,4,3,3,433,Promising
12725,372,1,0.693147181,219.9,1,1,2,112,Lost
12726,29,7,2.079441542,1900.2,3,4,4,344,Loyalist
12727,11,6,1.945910149,3186.99,4,4,4,444,Champions
12728,72,4,1.609437912,728.09,2,3,3,233,At-Risk High Value
12729,114,1,0.693147181,257.63,2,1,2,212,Lost
12731,24,11,2.48490665,13606.97,3,4,4,344,Loyalist
12732,180,1,0.693147181,129.22,1,1,1,111,Lost
12733,235,1,0.693147181,368.65,1,1,2,112,Lost
12734,353,1,0.693147181,55.2,1,1,1,111,Lost
12735,316,2,1.098612289,465.99,1,2,2,122,Lost
12736,333,1,0.693147181,187.2,1,1,1,111,Lost
12738,373,1,0.693147181,105.55,1,1,1,111,Lost
12739,79,2,1.098612289,589.88,2,2,3,223,At-Risk High Value
12740,64,1,0.693147181,215.1,2,1,1,211,Lost
12743,135,1,0.693147181,313.95,2,1,2,212,Lost
12744,52,6,1.945910149,18323.67,2,4,4,244,At-Risk High Value
12747,3,11,2.48490665,3800.49,4,4,4,444,Champions
12748,1,114,4.744932128,25232.54,4,4,4,444,Champions
12749,4,4,1.609437912,2386.87,4,3,4,434,Promising
12750,129,1,0.693147181,181.48,2,1,1,211,Lost
12752,82,1,0.693147181,2444.58,2,1,4,214,At-Risk High Value
12753,23,6,1.945910149,17154.53,3,4,4,344,Loyalist
12754,236,3,1.386294361,1625.55,1,3,4,134,At-Risk High Value
12755,281,2,1.098612289,3811.95,1,2,4,124,At-Risk High Value
12756,87,1,0.693147181,91.68,2,1,1,211,Lost
12757,16,9,2.302585093,5688.61,4,4,4,444,Champions
12758,117,2,1.098612289,1194.31,2,2,4,224,At-Risk High Value
12759,53,3,1.386294361,973.53,2,3,3,233,At-Risk High Value
12762,8,2,1.098612289,1345.52,4,2,4,424,Promising
12763,139,2,1.098612289,296.62,2,2,2,222,Lost
12764,317,1,0.693147181,1292.18,1,1,4,114,Lost
12766,4,7,2.079441542,4509.94,4,4,4,444,Champions
12769,239,1,0.693147181,834.81,1,1,3,113,Lost
12770,211,1,0.693147181,838.21,1,1,3,113,Lost
12772,60,1,0.693147181,549.01,2,1,3,213,At-Risk High Value
12775,18,5,1.791759469,968.54,4,4,3,443,Loyalist
12778,20,6,1.945910149,637.45,3,4,3,343,Loyalist
12779,38,8,2.197224577,3003.18,3,4,4,344,Loyalist
12781,64,2,1.098612289,730.26,2,2,3,223,At-Risk High Value
12782,5,5,1.791759469,1825.54,4,4,4,444,Champions
12783,3,5,1.791759469,1801.94,4,4,4,444,Champions
12784,10,2,1.098612289,401.77,4,2,2,422,Promising
12785,365,1,0.693147181,200.95,1,1,1,111,Lost
12787,10,3,1.386294361,412.98,4,3,2,432,Potential Loyalist
12789,66,1,0.693147181,91.85,2,1,1,211,Lost
12790,193,1,0.693147181,188.92,1,1,1,111,Lost
12791,374,1,0.693147181,192.6,1,1,1,111,Lost
12792,257,1,0.693147181,228.34,1,1,2,112,Lost
12793,335,2,1.098612289,399.73,1,2,2,122,Lost
12794,54,2,1.098612289,733.21,2,2,3,223,At-Risk High Value
12795,19,1,0.693147181,395.68,3,1,2,312,Need Attention
12797,366,1,0.693147181,143.33,1,1,1,111,Lost
12798,11,3,1.386294361,6977.04,4,3,4,434,Promising
12802,187,1,0.693147181,307.32,1,1,2,112,Lost
12808,37,3,1.386294361,315.05,3,3,2,332,Potential Loyalist
12809,178,1,0.693147181,386.23,1,1,2,112,Lost
12811,261,3,1.386294361,295.4,1,3,2,132,Lost
12812,45,1,0.693147181,140.84,3,1,1,311,Need Attention
12814,102,1,0.693147181,125.92,2,1,1,211,Lost
12815,148,2,1.098612289,677.06,1,2,3,123,At-Risk High Value
12816,96,2,1.098612289,506.8,2,2,3,223,At-Risk High Value
12817,282,1,0.693147181,166.04,1,1,1,111,Lost
12818,262,1,0.693147181,1117.18,1,1,3,113,Lost
12820,4,4,1.609437912,558.36,4,3,3,433,Promising
12821,215,1,0.693147181,82.52,1,1,1,111,Lost
12822,71,2,1.098612289,628.98,2,2,3,223,At-Risk High Value
12823,75,5,1.791759469,1759.5,2,4,4,244,At-Risk High Value
12824,60,1,0.693147181,245.5,2,1,2,212,Lost
12826,3,7,2.079441542,683.27,4,4,3,443,Loyalist
12827,6,3,1.386294361,320.95,4,3,2,432,Potential Loyalist
12828,3,6,1.945910149,855.51,4,4,3,443,Loyalist
12829,337,2,1.098612289,277.1,1,2,2,122,Lost
12830,38,5,1.791759469,5593.52,3,4,4,344,Loyalist
12831,263,1,0.693147181,199.75,1,1,1,111,Lost
12832,33,2,1.098612289,238.63,3,2,2,322,Need Attention
12833,146,1,0.693147181,317.94,1,1,2,112,Lost
12834,283,1,0.693147181,154.68,1,1,1,111,Lost
12836,60,4,1.609437912,1951,2,3,4,234,At-Risk High Value
12837,174,1,0.693147181,117.3,1,1,1,111,Lost
12838,34,2,1.098612289,462.51,3,2,2,322,Need Attention
12839,3,14,2.708050201,3509.4,4,4,4,444,Champions
12840,144,4,1.609437912,951.52,1,3,3,133,At-Risk High Value
12841,5,24,3.218875825,3506.16,4,4,4,444,Champions
12842,71,2,1.098612289,836.45,2,2,3,223,At-Risk High Value
12843,66,8,2.197224577,1387.16,2,4,4,244,At-Risk High Value
12844,30,2,1.098612289,255.66,3,2,2,322,Need Attention
12845,268,4,1.609437912,320.24,1,3,2,132,Lost
12847,23,1,0.693147181,573.69,3,1,3,313,Need Attention
12849,32,2,1.098612289,801.99,3,2,3,323,Potential Loyalist
12851,97,1,0.693147181,103.21,2,1,1,211,Lost
12852,295,1,0.693147181,160.95,1,1,1,111,Lost
12853,135,3,1.386294361,1315.78,2,3,4,234,At-Risk High Value
12854,79,3,1.386294361,941.04,2,3,3,233,At-Risk High Value
12855,373,1,0.693147181,27.9,1,1,1,111,Lost
12856,8,6,1.945910149,1483.57,4,4,4,444,Champions
12857,211,2,1.098612289,645.7,1,2,3,123,At-Risk High Value
12863,53,1,0.693147181,521.2,2,1,3,213,At-Risk High Value
12864,139,1,0.693147181,147.12,2,1,1,211,Lost
12865,27,2,1.098612289,828.84,3,2,3,323,Potential Loyalist
12866,284,1,0.693147181,488.02,1,1,3,113,Lost
12867,27,7,2.079441542,2362.31,3,4,4,344,Loyalist
12868,186,6,1.945910149,1070.39,1,4,3,143,At-Risk High Value
12871,85,2,1.098612289,335.34,2,2,2,222,Lost
12872,327,2,1.098612289,477.21,1,2,2,122,Lost
12873,283,1,0.693147181,170,1,1,1,111,Lost
12875,144,2,1.098612289,343.23,1,2,2,122,Lost
12876,58,2,1.098612289,1224.02,2,2,4,224,At-Risk High Value
12877,4,12,2.564949357,1112.82,4,4,3,443,Loyalist
12878,237,2,1.098612289,400.59,1,2,2,122,Lost
12879,45,3,1.386294361,573.22,3,3,3,333,Potential Loyalist
12881,276,1,0.693147181,264,1,1,2,112,Lost
12882,10,2,1.098612289,967.44,4,2,3,423,Promising
12883,25,2,1.098612289,541.93,3,2,3,323,Potential Loyalist
12884,89,1,0.693147181,267.45,2,1,2,212,Lost
12885,64,2,1.098612289,654.51,2,2,3,223,At-Risk High Value
12886,68,2,1.098612289,810.54,2,2,3,223,At-Risk High Value
12888,215,2,1.098612289,354.12,1,2,2,122,Lost
12890,25,1,0.693147181,289.32,3,1,2,312,Need Attention
12891,186,3,1.386294361,331,1,3,2,132,Lost
12893,31,1,0.693147181,139.61,3,1,1,311,Need Attention
12895,43,2,1.098612289,227.7,3,2,2,322,Need Attention
12897,205,2,1.098612289,216.5,1,2,2,122,Lost
12901,9,23,3.17805383,17524.64,4,4,4,444,Champions
12902,265,1,0.693147181,71.69,1,1,1,111,Lost
12904,19,2,1.098612289,390.25,3,2,2,322,Need Attention
12906,12,2,1.098612289,2590.05,4,2,4,424,Promising
12908,177,2,1.098612289,750,1,2,3,123,At-Risk High Value
12909,40,4,1.609437912,1722.75,3,3,4,334,Potential Loyalist
12910,24,6,1.945910149,2078.62,3,4,4,344,Loyalist
12912,3,5,1.791759469,1478.7,4,4,4,444,Champions
12913,5,5,1.791759469,2174.79,4,4,4,444,Champions
12915,149,2,1.098612289,277.2,1,2,2,122,Lost
12916,139,4,1.609437912,2714.75,2,3,4,234,At-Risk High Value
12917,129,1,0.693147181,297,2,1,2,212,Lost
12919,9,6,1.945910149,1144.15,4,4,3,443,Loyalist
12920,18,1,0.693147181,104.78,4,1,1,411,New Customers
12921,10,23,3.17805383,10180.29,4,4,4,444,Champions
