CustomerID,Monetary,H1_Orders,H2_Orders,Diff_Orders
14700,5,2,1,-1
14713,5,5,4,-1
14766,5,3,2,-1
14776,5,6,5,-1
14796,5,8,7,-1
14841,5,3,2,-1
14903,5,3,2,-1
15032,5,1,0,-1
15034,5,4,3,-1
15058,5,6,5,-1
15093,5,3,2,-1
15125,5,8,7,-1
15179,5,3,2,-1
15245,5,2,1,-1
15270,5,4,3,-1
15301,5,6,5,-1
15529,5,5,4,-1
15570,5,5,4,-1
15581,5,5,4,-1
15622,5,5,4,-1
15687,5,5,4,-1
15694,5,6,5,-1
15769,5,13,12,-1
15815,5,3,2,-1
15974,5,4,3,-1
16029,5,29,28,-1
16187,5,8,7,-1
16191,5,6,5,-1
16209,5,3,2,-1
16327,5,3,2,-1
16477,5,3,2,-1
16713,5,7,6,-1
16771,5,3,2,-1
16875,5,3,2,-1
16940,5,2,1,-1
16966,5,4,3,-1
16985,5,5,4,-1
17211,5,3,2,-1
17231,5,5,4,-1
17315,5,19,18,-1
17338,5,4,3,-1
17416,5,4,3,-1
17530,5,5,4,-1
17597,5,1,0,-1
17634,5,5,4,-1
17667,5,3,2,-1
17669,5,4,3,-1
17685,5,3,2,-1
17686,5,4,3,-1
17690,5,6,5,-1
17722,5,2,1,-1
17744,5,3,2,-1
18061,5,5,4,-1
18226,5,6,5,-1
18230,5,4,3,-1
